,htid,person
0,loc.ark:/13960/t14m9xt96,"Breckinridge, Sophonisba Preston 1866-1948, [from old catalog] joint author. "
0,mdp.39015033639777,"Brown, Corinne. "
1,mdp.39015059789282,"Brown, Corinne. "
2,uc1.$b276033,"Brown, Corinne. "
0,nyp.33433023037900,"Lathrop, Julia Clifford 1858-1932 "
0,loc.ark:/13960/t14m9xt96,"Abbott, Edith 1876-1957. [from old catalog] "
0,uiuc.2436136,"Yarros, Rachelle Skidelski 1869- "
0,inu.30000042386536,"Anderson, Mary B. 1939- "
1,inu.30000042386536,"Anderson, Mary B. 1939- "
2,uc1.l0078858131,"Anderson, Mary B. 1939- "
3,mdp.39015032643754,"Anderson, Mary B. 1939- "
4,uc1.31822007650062,"Anderson, Mary B. 1939- "
5,uc1.32106010534730,"Anderson, Mary B. 1939- "
0,gri.ark:/13960/t4km36v25,"Boyd, Neva Leona. "
1,osu.32435005345004,"Boyd, Neva Leona. "
2,uc1.$b350394,"Boyd, Neva Leona. "
3,mdp.39015016154513,"Boyd, Neva Leona. "
4,nyp.33433082279526,"Boyd, Neva Leona. "
5,uiug.30112048425653,"Boyd, Neva Leona. "
6,umn.319510021179978,"Boyd, Neva Leona. "
7,mdp.39015016154521,"Boyd, Neva Leona. "
8,umn.319510021179978,"Boyd, Neva Leona. "
9,pst.000068979737,"Boyd, Neva Leona. "
10,umn.31951002289572h,"Boyd, Neva Leona. "
0,mdp.39015013426286,"Flynn, Elizabeth Gurley. "
1,mdp.39015068647703,"Flynn, Elizabeth Gurley. "
2,mdp.39015068648263,"Flynn, Elizabeth Gurley. "
3,mdp.39015073492111,"Flynn, Elizabeth Gurley. "
4,osu.32435059517300,"Flynn, Elizabeth Gurley. "
5,mdp.39015068648255,"Flynn, Elizabeth Gurley. "
6,mdp.39015068648669,"Flynn, Elizabeth Gurley. "
7,mdp.39015068648685,"Flynn, Elizabeth Gurley. "
8,osu.32435056494610,"Flynn, Elizabeth Gurley. "
9,mdp.39015059780711,"Flynn, Elizabeth Gurley. "
10,mdp.39015079021849,"Flynn, Elizabeth Gurley. "
11,osu.32435056493943,"Flynn, Elizabeth Gurley. "
