,chicago person,count,pull for Ben
121,Elizabeth Gurley Flynn,0,
78,"Abbott, Edith 1876-1957 ",96,1
17,"Abbott, Edith 1876-1957. [from old catalog] ",1,1
132,"Abbott, Edith. ",2,1
10,"Abbott, Grace 1878-1939 ",22,1
6,"Addams, Jane 1860-1935 ",148,1
57,Alice Hamilton,0,
102,Alzina Stevens,0,
32,Amy Kesselman,0,
70,"Anderson, Mary 1859-1940 ",11,1
67,"Anderson, Mary 1872-1964 ",4,
51,"Anderson, Mary 1922- ",2,
42,"Anderson, Mary 1929- ",5,
9,"Anderson, Mary Alice 1947- ",1,
66,"Anderson, Mary Ananell. ",3,
72,"Anderson, Mary Ann 1940- ",1,
112,"Anderson, Mary Ann 1946- ",3,
20,"Anderson, Mary Audentia Smith 1872- ",2,
111,"Anderson, Mary B. 1939- ",6,1
31,"Anderson, Mary Crow 1922- ",1,
28,"Anderson, Mary Desiree 1902- ",1,
22,"Anderson, Mary Dě̴̎�sirě̴̎�e 1902- ",3,
90,"Anderson, Mary Ď̴̄�siř̴̄�e 1901- ",1,
129,"Anderson, Mary E. (Mary Evarts) 1838-1905 ",3,
0,"Anderson, Mary Eldrid 1926- ",1,
75,"Anderson, Mary Eleanor (Roberts) Mrs 1840-1916 ",3,
23,"Anderson, Mary Eleanor 1840-1916 ",3,
118,"Anderson, Mary Eleanor Roberts 1840-1916 ",3,
33,"Anderson, Mary Ellen 1945- ",1,
122,"Anderson, Mary J. (Mary Johanna) 1931- ",1,
74,"Anderson, Mary Jo. ",1,
48,"Anderson, Mary Katherine. ",2,
1,"Anderson, Mary L. ",3,
50,"Anderson, Mary Louisa. ",2,
2,"Anderson, Mary M. ",1,
100,"Anderson, Mary P. ",5,
96,"Anderson, Mary Perle. ",1,
45,"Anderson, Mary Raleigh b. 1878 ",2,
104,"Anderson, Mary Rebecca 1943- ",2,
56,"Anderson, Mary Roberdeau. ",1,
125,"Anderson, Mary Savage Jones 1873- ",1,
81,"Anderson, Mary Siler. ",1,
53,"Anderson, Mary active 1893-1898 ",1,
38,"Anderson, Mary historian ",5,
89,"Anderson, Mary historian joint author. ",3,
80,"Anderson, Mary novelist ",1,
82,"Anderson, Mary. ",3,
109,"Anderson, Maryjane 1956- ",1,
95,"Booth, Heather 1950- ",8,1
128,"Booth, Heather. ",2,1
52,"Boyd, Neva D. ",1,
69,"Boyd, Neva L. ",1,
15,"Boyd, Neva L. (Neva Leona) ",1,1
49,"Boyd, Neva L. joint author. ",1,1
8,"Boyd, Neva Leona 1876- joint comp. ",1,
73,"Boyd, Neva Leona comp. ",1,
41,"Boyd, Neva Leona joint author. ",1,
19,"Boyd, Neva Leona. ",11,1
4,"Breckinridge, Sophonisba Preston 1866-1948 ",104,1
84,"Breckinridge, Sophonisba Preston 1866-1948 ed. ",2,
126,"Breckinridge, Sophonisba Preston 1866-1948 joint author. ",8,1
29,"Breckinridge, Sophonisba Preston 1866-1948, [from old catalog] joint author. ",1,1
83,"Breckinridge, Sophonisba Preston, [from old catalog] joint author. ",1,1
94,"Brown, Corinne. ",3,1
106,Charlotte Perkins Gilman,0,
76,Claudia Jones,0,
62,Corinne Brown,0,
130,Cornelia De Bey,0,
116,"Detzer, Dorothy 1893-1981 ",5,1
107,Dorothy Detzer,0,
21,"DuBois, Ellen Carol 1947- ",8,1
91,Edith Abbott,0,
77,"Edwards, Emily 1888-1980 ",2,
5,"Edwards, Emily D. ",2,
27,"Edwards, Emily Hewlett joint author ",1,
99,Eleanor Clarke Slagle,0,
85,Ellen DuBois,0,
108,Ellen Gates Starr,0,
87,Emily Edwards,0,
93,Enella Benedict,0,
103,Estelle Carol,0,
88,Ethel Percy Andrus,0,
30,Evelyn Goldfield,0,
7,Florence Kelley,0,
37,"Flynn, Elizabeth Gurley. ",20,1
68,Fran Rominiski,0,
26,Frances Perkins,0,
136,Gerturde Hunt,0,
114,Grace Abbott,0,
131,"Hamilton, Alice 1869- ",1,1
11,"Hamilton, Alice 1869-1970 ",51,1
127,"Hamilton, Alice Blanche Lewis 1913- ",1,
61,"Hamilton, Alice King. ",9,1
34,"Hamilton, Alice. ",2,
59,Heather Booth,0,
65,Ida B. Wells-Barnett,0,
63,Ida Reeves Bloor,0,
97,Jane Addams,0,
14,Jenny Rohrer,0,
135,Jo Freeman,0,
58,"Jones, Claudia 1915-1964 ",2,1
98,"Jones, Claudia. ",2,1
44,Julia Lathrop,0,
3,"Kesselman, Amy Vita 1944- ",4,1
117,"Lathrop, Julia Clifford 1858-1932 ",1,1
92,Lena Morroeu Leeves,0,
25,"Marie ""Micki"" Learner",0,
13,Mary Anderson,0,
12,Mary C. Bryon,0,
123,Mary Fitzbutler Waring,0,
54,Mary Kenney O'Sullivan,0,
105,Mary McDowell,0,
133,May Wood Simons,0,
64,"McDowell, Mary Ann. ",1,1
40,"McDowell, Mary E. (Mary Eliza) ",2,1
39,Mother Jones,0,
86,Naomi Weisstein,0,
24,Neva Boyd,0,
134,Pauline Gibling Schindler,0,
46,"Perkins, Frances 1880-1965 ",11,1
124,"Perkins, Frances 1952- ",12,
35,"Perkins, Frances J. joint author. ",1,
113,"Perkins, Frances L. ",1,
16,"Perkins, Frances. ",1,1
110,Rachelle Yarros,0,
79,Ruth Surgal,0,
18,Selma Walden,0,
55,Sophonisba Breckinridge,0,
120,"Spolin, Viola ",1,1
43,"Spolin, Viola. ",7,1
101,Sue Munaker,0,
115,Suzanne Davenport,0,
71,Viola Spolin,0,
36,Vivian Rothstein,0,
60,"Wells-Barnett, Ida B. 1862-1931 ",18,1
47,"Yarros, Rachelle Skidelski 1869- ",1,1
119,��Emma Steghagen,0,
