,htid,org
0,coo.31924002334971,"Amalgamated Clothing Workers of America, Local 25, Greater New York Coat Makers "
0,coo.31924001734064,"Coalition of Labor Union Women Convention, Washington, D.C., 1977. "
0,mdp.39015072116984,"Association for Family Living, Chicago "
0,inu.32000007711684,"La Leche League of Franklin Park, Inc "
0,chi.40798587,"Industrial Workers of the World Convention (2nd : 1906 : Chicago, Ill.) "
0,mdp.39015080267209,"Amalgamated clothing workers of America and Men's clothing manufacturers associations Board of arbitration, Chicago. "
0,ien.35556021807136,"League of Women Voters of Cook County (Cook County, Ill.) "
1,ien.35556021885181,"League of Women Voters of Cook County (Cook County, Ill.) "
2,ien.35556020525689,"League of Women Voters of Cook County (Cook County, Ill.) "
3,ien.35556026356584,"League of Women Voters of Cook County (Cook County, Ill.) "
4,ien.35556026700013,"League of Women Voters of Cook County (Cook County, Ill.) "
5,ien.35556018017061,"League of Women Voters of Cook County (Cook County, Ill.) "
6,ien.35556020525689,"League of Women Voters of Cook County (Cook County, Ill.) "
7,ien.35556021878988,"League of Women Voters of Cook County (Cook County, Ill.) "
8,ien.35556022999098,"League of Women Voters of Cook County (Cook County, Ill.) "
9,ien.35556026675447,"League of Women Voters of Cook County (Cook County, Ill.) "
10,ien.35556021807136,"League of Women Voters of Cook County (Cook County, Ill.) "
11,ien.35556031552870,"League of Women Voters of Cook County (Cook County, Ill.) "
12,ien.35556021885181,"League of Women Voters of Cook County (Cook County, Ill.) "
13,ien.35556026356584,"League of Women Voters of Cook County (Cook County, Ill.) "
14,ien.35556026675447,"League of Women Voters of Cook County (Cook County, Ill.) "
15,ien.35556031552870,"League of Women Voters of Cook County (Cook County, Ill.) "
16,ien.35556021878988,"League of Women Voters of Cook County (Cook County, Ill.) "
17,ien.35556022999098,"League of Women Voters of Cook County (Cook County, Ill.) "
18,ien.35556026700013,"League of Women Voters of Cook County (Cook County, Ill.) "
0,mdp.39015082092431,"League of Women Voters of Cook County, Ill "
0,nyp.33433075968747,"Juvenile Protective Association, Chicago "
1,nyp.33433075968747,"Juvenile Protective Association, Chicago "
2,uiug.30112107296714,"Juvenile Protective Association, Chicago "
3,uiug.30112107296714,"Juvenile Protective Association, Chicago "
0,inu.30000093650160,"League of Women Voters of the South Bend Area (South Bend, Ind.) "
0,ien.35556002933950,"Hull House (Chicago, Ill.) "
1,osu.32435055622328,"Hull House (Chicago, Ill.) "
0,loc.ark:/13960/t2b85kk93,"Northwestern University Settlement (Chicago, Ill.) "
1,loc.ark:/13960/t2b85kk93,"Northwestern University Settlement (Chicago, Ill.) "
2,mdp.39015074735237,"Northwestern University Settlement (Chicago, Ill.) "
3,mdp.39015074735245,"Northwestern University Settlement (Chicago, Ill.) "
4,uiug.30112004207145,"Northwestern University Settlement (Chicago, Ill.) "
0,loc.ark:/13960/t0zp4pf4x,"Young women's Christian association, Brooklyn. [from old catalog] "
