,chicago org,count,pull for Ben (focused),pull for Ben (broad)
156,AFL Ladies' Federal Union,0,,
365,Alpha Suffrage Club,0,,
363,Amalgamated Clothing Workers of America,0,,
331,Amalgamated Clothing Workers of America,86,,1
341,Amalgamated Clothing Workers of America Board of Arbitration.,1,,1
31,Amalgamated Clothing Workers of America Chicago Joint Board.,14,1,1
209,Amalgamated Clothing Workers of America Cincinnati joint board.,2,,
321,Amalgamated Clothing Workers of America Convention.,63,,1
327,Amalgamated Clothing Workers of America Education Dept.,6,,1
132,Amalgamated Clothing Workers of America General Executive Board.,34,,1
229,Amalgamated Clothing Workers of America New York Joint Board.,2,1,1
96,Amalgamated Clothing Workers of America Research Department.,1,,1
81,Amalgamated Clothing Workers of America Research Dept.,9,,1
227,Amalgamated Clothing Workers of America Research dept.,1,,1
257,Amalgamated Clothing Workers of America defendant.,1,,1
94,"Amalgamated Clothing Workers of America, Local 25, Greater New York Coat Makers ",1,1,1
23,"Amalgamated clothing workers of America and Men's clothing manufacturers associations Board of arbitration, Chicago. ",1,1,1
344,Association for Family Living,0,,
278,Association for Family Living,1,,1
192,"Association for Family Living, Chicago ",1,1,1
153,Back of the Yards Neighborhood Council,0,,
335,Birth Control League,0,,
48,Black Panther Party of Chicago,0,,
246,Chicago Association for the Advancement of Colored People,0,,
210,Chicago Central Union (Women's Christian Temperance Union),0,,
247,Chicago Commons,0,,
196,Chicago Commons Association,18,1,1
181,Chicago Freedom Movement,0,,
36,Chicago Hospital for Women and Children,0,,
82,Chicago Lesbian Liberation,0,,
102,Chicago Political Equity League,0,,
275,Chicago Sorosis Club,0,,
286,Chicago Teachers' Federation,0,,
280,Chicago Training School for Active Workers in the Labor Movement,0,,
309,Chicago Urban League,0,,
51,Chicago Urban League,24,1,1
30,Chicago Urban League Research Department.,1,1,1
32,Chicago Urban League Research and Planning Department.,4,1,1
33,Chicago Urban League Research and Planning Dept.,24,1,1
308,Chicago Woman's Aid,0,,
284,Chicago Women's Club,0,,
78,Chicago Women's Liberation Union,0,,
159,Chicago Women's Roosevelt Club,0,,
240,Chicago Working Women's Union,0,,
233,Coalition of Labor Union Women,0,,
235,Coalition of Labor Union Women (U.S.),9,,1
348,Coalition of Labor Union Women (U.S.) Center for Education and Research.,1,,1
91,Coalition of Labor Union Women (U.S.) Maricopa County Chapter.,1,,
152,Coalition of Labor Union Women (U.S.) Pima County Chapter.,1,,
322,Coalition of Labor Union Women (U.S.). Task Force on Conract Language,1,,
168,"Coalition of Labor Union Women Convention, Washington, D.C., 1977. ",1,,1
169,Coalition of Labor Union Women.,1,,1
73,College of Complexes,0,,
223,Commission on the Status of Women,0,,
16,Communist Party,0,,
254,Congress of Racial Equality,0,,
165,Congress of Racial Equality,13,,1
337,Cook County Suffrage Association,0,,
133,Cook County Women's Christian Temperance Union,0,,
20,Daughter's of Bilitis,0,,
57,Dil Pickle,0,,
86,Dill Pickle,0,,
287,Eleanor Clubs,0,,
239,Fortnightly,0,,
122,"Fortnightly Club (Berkeley, Calif.) ",2,,
323,"Fortnightly Club (Garvanza, Calif.) ",4,,
334,"Fortnightly Club (Rochester, N.Y.) ",2,,
330,"Fortnightly Club for the Study of Anthropology, Yonkers, N.Y ",4,,
353,"Fortnightly Club, Berkeley, Calif ",2,,
