htid,title,person
ï»¿coo.31924003252073,"Studies in protein and amino acid nutrition using the holotrichous ciliate, Tetrahymena geleii ","Anderson, Mary Eldrid 1926- "
coo.31924014531028,"The Child, the clinic and the court ","Addams, Jane 1860-1935 "
coo1.ark:/13960/t05x2w09h,A summary of juvenile-court legislation in the United States ,"Breckinridge, Sophonisba Preston 1866-1948 "
coo1.ark:/13960/t0ks78j5j,The delinquent child and the home ,"Abbott, Edith 1876-1957 "
coo.31924003585589,Windowless offices user satisfaction and adaptations ,"Anderson, Mary Ann 1940- "
coo1.ark:/13960/t5db8mk3w,"Juvenile court laws in the United States a summary by states,by Thomas J. Homer; a topical abstract, by Grace Abbott; and the new juvenile court law of Monroe county, N.Y ","Abbott, Grace 1878-1939 "
coo1.ark:/13960/t1jh4rq9k,The Social application of religion ,"Addams, Jane 1860-1935 "
aeu.ark:/13960/t6058td8c,The long road of woman's memory ,"Addams, Jane 1860-1935 "
chi.11932228,"The child, and other verses ","Anderson, Mary Louisa. "
coo1.ark:/13960/t1zc8gz98,The long road of woman's memory ,"Addams, Jane 1860-1935 "
chi.21184561,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
coo.31924073957254,Community-based research on child mortality in rural Kenya ,"Booth, Heather 1950- "
coo1.ark:/13960/t7tm7s30w,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
coo.31924073957254,Measurement and meaning community-based research on child mortality in rural Kenya ,"Booth, Heather 1950- "
emu.010000667705,"Lynch law in Georgia a six-weeks' record in the center of southern civilization, as faithfully chronicled by the Atlanta Journal and the Atlanta Constitution : also the full report of Louis P. Le Vin, the Chicago detective sent to investigate the burning of Samuel Hose, the torture and hanging of Elijah Strickland, the colored preacher, and the lynching of nine men for alleged arson ","Wells-Barnett, Ida B. 1862-1931 "
coo1.ark:/13960/t17m0tx3x,Report of the Commission on Immigration on the problem of immigration in Massachusetts ,"Abbott, Grace 1878-1939 "
hvd.32044004319224,The history of trade unionism among women in Boston ,"Abbott, Edith 1876-1957 "
coo1.ark:/13960/t19k4wf2s,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Breckinridge, Sophonisba Preston 1866-1948 "
coo1.ark:/13960/t4rj50w8n,The immigrant and the community ,"Abbott, Grace 1878-1939 "
chi.27293034,"The wages of unskilled labor in the United States, 1850-1900 ","Abbott, Edith 1876-1957 "
hvd.32044011846243,Women at the Hague the International Congress of Women and its results ,"Hamilton, Alice 1869-1970 "
hvd.32044018648212,The overthrow of the war system ,"Addams, Jane 1860-1935 "
hvd.32044021676937,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
coo1.ark:/13960/t99604c6m,Democracy and social ethics ,"Addams, Jane 1860-1935 "
coo1.ark:/13960/t9s18jf5n,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
hvd.32044004567236,The long road of woman's memory ,"Addams, Jane 1860-1935 "
hvd.32044010648830,"Philanthropy and social progress seven essays ... delivered before the School of applied ethics at Plymouth Mass., during the session of 1892 ","Addams, Jane 1860-1935 "
hvd.32044022702674,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
coo.31924001474273,"A formative evaluation of U.S. hospices issues in planning, development and evaluation ","Anderson, Maryjane 1956- "
hvd.32044011846243,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
coo1.ark:/13960/t0dv23892,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
hvd.32044018742239,Legal tender a study in English and American monetary history ,"Breckinridge, Sophonisba Preston 1866-1948 "
coo1.ark:/13960/t0ks78j5j,The delinquent child and the home ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.32044030074728,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.32044037769437,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
coo1.ark:/13960/t19k4wf2s,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Abbott, Edith 1876-1957 "
coo1.ark:/13960/t79s2bk4w,Newer ideals of peace ,"Addams, Jane 1860-1935 "
coo1.ark:/13960/t7pn9nz5q,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
coo1.ark:/13960/t7sn0r67k,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
hvd.32044038493441,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
gri.ark:/13960/t4km36v25,Play and game theory in group work a collection of papers ,"Boyd, Neva Leona. "
hvd.32044041538760,Women in the lead industries ,"Hamilton, Alice 1869-1970 "
hvd.32044087356002,Woman suffrage ... Hearings before the ,"Addams, Jane 1860-1935 "
hvd.32044097667307,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
hvd.hj2awx,Carbon-monoxide poisoning ,"Hamilton, Alice 1869-1970 "
hvd.hntc1e,The Chicago Juvenile court ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.32044038456836,"Philanthropy and social progress seven essays ... delivered before the School of applied ethics at Plymouth Mass., during the session of 1892 ","Addams, Jane 1860-1935 "
hvd.hwrde5,New songs for little people ,"Anderson, Mary Eleanor Roberts 1840-1916 "
hvd.hxphk9,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
hvd.32044087302196,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
hvd.32044010195378,The Social application of religion ,"Addams, Jane 1860-1935 "
hvd.rslfev,Madeline McDowell Breckinridge a leader in the new South ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.32044011564176,The immigrant and the community ,"Abbott, Grace 1878-1939 "
iau.31858048726412,Folk games of Denmark and Sweden ,"Boyd, Neva L. joint author. "
hvd.32044087357380,The immigrant and the community ,"Abbott, Grace 1878-1939 "
ien.35556003847464,Mob rule in New Orleans ,"Wells-Barnett, Ida B. 1862-1931 "
ien.35556038846606,Jane Addams' essays and speeches ,"Addams, Jane 1860-1935 "
hvd.32044087373692,The history of trade unionism among women in Boston ,"Abbott, Edith 1876-1957 "
hvd.32044029853355,Newer ideals of peace ,"Addams, Jane 1860-1935 "
hvd.32044031918048,"A Statement addressed to Hon. Charles S. Whitman, Governor upon the failure of the Industrial Commission to enforce the labor law with particular reference to the fire in Diamond Factory, Williamsburg, Brooklyn on November 6th, 1915 ","Perkins, Frances 1880-1965 "
hvd.32044088293915,A few memories ,"Anderson, Mary 1859-1940 "
hvd.32044087355954,"Woman suffrage hearings before the Committee on the Judiciary, House of Representatives, Sixty-second Congress, Second session...February 14, [March 13] 1912 ","Addams, Jane 1860-1935 "
hvd.ah157b,Religion in social action ,"Addams, Jane 1860-1935 "
inu.30000005475664,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
hvd.32044097667307,Women at the Hague the International Congress of Women and its results ,"Hamilton, Alice 1869-1970 "
hvd.32044103122057,"Restriction of immigration hearings before the Committee on Immigration and Naturalization, House of Representatives, Sixty-fourth Congress, first session, on H.R. 558, Thursday, January 20, and Friday, January 21, 1916 : statements of Miss Grace Abbott, Stephen Osusky, Clarence N. Goodwin, John Kulamar, James A. Gallivan, John F. Smulski, Louis E. Levy ","Abbott, Grace 1878-1939 "
hvd.32044103122057,"Statements of Miss Grace Abbott, Stephen Osusky, Clarence N. Goodwin, John Kulamar, James A. Gallivan, John F. Smulski, Louis E. Levy ","Abbott, Grace 1878-1939 "
hvd.32044106438682,Early European botanists in Japan ,"Anderson, Mary Perle. "
inu.30000042386536,"Women on the agenda UNIFEM's experience in mainstreaming with women, 1985-1990 ","Anderson, Mary B. 1939- "
hvd.hj2aje,Hygiene of the painters' trade ,"Hamilton, Alice 1869-1970 "
inu.39000005862177,"Folk games of Denmark and Sweden for school, playground and social center ","Boyd, Neva L. "
hvd.hj2ajx,Lead poisoning in the manufacture of storage batteries ,"Hamilton, Alice 1869-1970 "
