htid,title,org
ï»¿coo.31924002005183,"Know your schools, Tompkins County, New York ","League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924002334971,"Anniversary journal, on the occasion of the celebration of the fiftieth anniversary of the founding of the first organization of men's clothing workers in New York, which is now a part of Local 25 ","Amalgamated Clothing Workers of America, Local 25, Greater New York Coat Makers "
coo.31924000810220,Proceedings of the ... Biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924002403206,"Official report of the Strike committee, Chicago garment workers' strike October 29, 1910-February 19, 1911 ",Women's Trade Union League of Chicago 
coo.31924001734064,Resolutions and proceedings 1977 convention of the Coalition of Labor Union Women ,"Coalition of Labor Union Women Convention, Washington, D.C., 1977. "
coo.31924003755877,Directory of Arizona labor organizations ,Coalition of Labor Union Women (U.S.) Maricopa County Chapter. 
coo.31924003365503,Local government in Tompkins County ,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924001273147,"A commitment to children the report of the Coalition of Labor Union Women, Child Care Seminar ",Coalition of Labor Union Women. 
chi.40798587,Proceedings of the second annual convention of the Industrial Workers of the World ,"Industrial Workers of the World Convention (2nd : 1906 : Chicago, Ill.) "
coo.31924014071959,Know your county ,League of Women Voters (U.S.) 
coo.31924002334948,"The wage policies of the Amalgamated Clothing Workers of America, 1914-50 ",Amalgamated Clothing Workers of America 
chi.56503045,The handbook of the Young women's Christian association movement prepared under the auspices of the Department of method of the National board ,Young Women's Christian Association of the U.S.A National Board 
coo.31924003670282,Convention report ,Women's Trade Union League of New York 
coo.31924000810220,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924050122278,"Women and employment, a Canadian perspective ",Young Women's Christian Association of Metropolitan Toronto 
coo.31924014007771,Taxes and tax trends ,League of Women Voters (U.S.) 
coo.31924054221704,Annual report ,Women's Trade Union League of New York 
coo.31924014071033,Know your county government ,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924003671611,The Amalgamated Clothing Workers almanac ,Amalgamated Clothing Workers of America Education Dept. 
coo.31924054285204,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924003675117,Annual report ,Women's Trade Union League of New York 
coo.31924054285253,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924052338997,Household hazards a guide to detoxifying your home ,"League of Women Voters of Albany County (Albany County, N.Y.) "
coo.31924054285162,The Amalgamated Clothing Workers almanac ,Amalgamated Clothing Workers of America Education Dept. 
coo.31924054285238,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285253,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285253,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285279,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285329,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285378,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285394,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
coo.31924054285394,General Executive Board report and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285410,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
coo.31924054285469,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
