Person,Date
Heather Booth,Second Wave
Vivian Rothstein,Second Wave
Naomi Weisstein,Second Wave
Ruth Surgal,Second Wave
"Marie ""Micki"" Learner",Second Wave
Estelle Carol,Second Wave
Suzanne Davenport,Second Wave
Jenny Rohrer,Second Wave
Amy Kesselman,Second Wave
Ellen DuBois,Second Wave
Sue Munaker,Second Wave
Fran Rominiski,Second Wave
Jo Freeman,Second Wave
Evelyn Goldfield,Second Wave
Jane Addams,First Wave
Ellen Gates Starr,First Wave
Edith Abbott,First Wave
Grace Abbott,First Wave
Jane Addams,First Wave
Ethel Percy Andrus,First Wave
Viola Spolin,First Wave
Neva Boyd,First Wave
Charlotte Perkins Gilman,First Wave
Sophonisba Breckinridge,First Wave
Dorothy Detzer,First Wave
Pauline Gibling Schindler,First Wave
Alice Hamilton,First Wave
Florence Kelley,First Wave
Mary Kenney O'Sullivan,First Wave
Julia Lathrop,First Wave
Mary McDowell,First Wave
Frances Perkins,First Wave
Alzina Stevens,First Wave
Cornelia De Bey,First Wave
Eleanor Clarke Slagle,First Wave
Rachelle Yarros,First Wave
Enella Benedict,First Wave
Emily Edwards,First Wave
Corinne Brown,First Wave
Ida B. Wells-Barnett,First Wave
Mary Fitzbutler Waring,First Wave
Mary C. Bryon,First Wave
ξEmma Steghagen,First Wave
May Wood Simons,First Wave
Mary Anderson,First Wave
Selma Walden,First Wave
Lena Morroeu Leeves,First Wave
Gerturde Hunt,First Wave
 Elizabeth Gurley Flynn,First Wave
Mother Jones,First Wave
Ida Reeves Bloor,First Wave
Claudia Jones,First Wave
