Person,Date
Ti-Grace Atkinson,Second Wave
Rita Mae Brown,Second Wave
Shulamith Firestone,Second Wave
Anne Koedt,Second Wave
Diane Crothers,Second Wave
Minda Bikman,Second Wave
Ann Snitow,Second Wave
Cellestine Ware,Second Wave
Marsha Gershin,Second Wave
Ellen Willis,Second Wave
Robin Morgan,Second Wave
Florika,Second Wave
Peggy Dobbins,Second Wave
Judy Duffett,Second Wave
Cynthia Funk,Second Wave
Naomi Jaffe,Second Wave
Susan Brownmiller,Second Wave
Norma Allen,Second Wave
Jane Lazarre,Second Wave
Barbara Easton,Second Wave
Mitford,Second Wave
Ann Forer,Second Wave
"Anthony, Katherine ",First Wave
"Arthur, Helen ",First Wave
"Austin, Mary Hunter",First Wave
"Baker, Sara Josephine",First Wave
"Chamberlain, Mary",First Wave
"Comen, Stella",First Wave
"Cotheren, Marion ",First Wave
"Daggett, Mabel Potter",First Wave
"DeMille, Agnes",First Wave
"DeMille, Anna George",First Wave
"Dennett, Mary Ware ",First Wave
"Dodge, Mabel",First Wave
"Dorr, Rheta Childe",First Wave
"Dufor, Elsie",First Wave
"Eastman, Crystal ",First Wave
"Fels, Mary ",First Wave
"Flynn, Elizabeth Gurley",First Wave
"Gale, Zola",First Wave
"Gilman, Charlotte ",First Wave
"Glaspell, Susan",First Wave
"Goldman, Emma",First Wave
"Hale, Beatrice Forbes-Robinson",First Wave
"Hale, Ruth ",First Wave
"Hinkle, Beatrice M",First Wave
"Hollingworth, Leta ",First Wave
"Howe, Marie Jenny",First Wave
"Hurst, Fannie ",First Wave
"Irwin, Elizabeth ",First Wave
"Irwin, Inez",First Wave
"Johnson, Grace Nail ",First Wave
,
"La Follette, Fola",First Wave
"Maule, Frances",First Wave
"Milholland, Inez",First Wave
"Miller, Alice Duer ",First Wave
"Parsons, Elsie Clews ",First Wave
"Pickering, Ruth",First Wave
"Potter, Grace",First Wave
"Putnam, Nina Wilcox ",First Wave
"Rauh, Ida ",First Wave
"Rodman, Henriettta",First Wave
"Seabury, Florence",First Wave
"Shaw, Mary ",First Wave
"Stevens, Doris ",First Wave
"Stokes, Rose Pastor ",First Wave
"Thompson, Daisy Haynes",First Wave
"Vorse, Mary Heaton",First Wave
"Young, Rose ",First Wave
