htid,title,person
ï»¿aeu.ark:/13960/t4dn5fd4r,Concerning children ,"Gilman, Charlotte Perkins 1860-1935 "
aeu.ark:/13960/t89g7140g,The social significance of modern drama ,"Goldman, Emma 1869-1940 "
chi.105719338,Psychology of the unconscious a study of the transformations and symbolisms of the libido : a contribution to the history of the evolution of thought ,"Hinkle, Beatrice M. "
aeu.ark:/13960/t89g7140g,The social significance of the modern drama ,"Goldman, Emma 1869-1940 "
aeu.ark:/13960/t4rj69w6s,The visioning a novel ,"Glaspell, Susan 1882-1948 "
chi.14486630,Suppressed desires ,"Glaspell, Susan 1876-1948 "
coo1.ark:/13960/t59c7h793,The arrow-maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
aeu.ark:/13960/t5x64s13j,Ladies must live ,"Miller, Alice Duer 1874-1942 "
chi.105719338,Wandlungen und Symbole der Libido. English ,"Hinkle, Beatrice M. "
chi.15478087,Just around the corner romance en casserole ,"Hurst, Fannie 1889-1968 "
coo.31924002303646,Executive careers for women ,"Maule, Frances 1879-1966 "
coo.31924013826734,Love is a challenge ,"Seabury, Florence (Guy) Mrs "
coo.31924073944716,Rubyfruit jungle ,"Brown, Rita Mae. "
coo1.ark:/13960/t7kp8kn3x,Are women people? A book of rhymes for suffrage times ,"Miller, Alice Duer 1874-1942 "
coo.31924106110608,The Forerunner ,"Gilman, Charlotte Perkins 1860-1935 "
coo1.ark:/13960/t7qn6q303,Inside the Russian revolution ,"Dorr, Rheta Childe 1866-1948 "
coo.31924106110657,The Forerunner ,"Gilman, Charlotte Perkins 1860-1935 "
coo.31924032462776,"Woman suffrage history, arguments, and results : a collection of six popular booklets covering practically the entire field of suffrage claims and evidence : designed especially for the convenience of suffrage speakers and writers and for the use of debaters and libraries ","Maule, Frances 1879-1966 "
coo1.ark:/13960/t1sf3bh15,Come out of the kitchen! A romance ,"Miller, Alice Duer 1874-1942 "
coo1.ark:/13960/t95720s85,Joseph Fels; his life-work ,"Fels, Mary (Fels) Mrs 1859- "
coo1.ark:/13960/t1vd7d35b,Poems ,"Miller, Alice Duer 1874-1942 "
coo1.ark:/13960/t6pz5s55c,Fidelity a novel ,"Glaspell, Susan 1882-1948 "
hvd.32044009866146,In this our world ,"Gilman, Charlotte Perkins 1860-1935 "
coo1.ark:/13960/t9f487j6p,Our androcentric culture ,"Gilman, Charlotte Perkins 1860-1935 "
hvd.32044010288470,The yellow wall paper ,"Gilman, Charlotte Perkins 1860-1935 "
hvd.32044010398428,The vertical city ,"Hurst, Fannie 1889-1968 "
hvd.32044014224463,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
hvd.32044010605798,The flock ,"Austin, Mary Hunter 1868-1934 "
coo1.ark:/13960/t1gj0220n,Work-accidents and the law ,"Eastman, Crystal 1881-1928 "
hvd.32044020263711,Autobiography of an elderly woman ,"Vorse, Mary Heaton 1874-1966 "
coo1.ark:/13960/t1wd4fh59,The land of little rain ,"Austin, Mary Hunter 1868-1934 "
