htid,title,org
coo.31924001835820,"The outside system of production in the women's garment industry in the New York market the problems which it has created, their adverse effect upon the workers, and the provisions of the existing collective labor agreements which have aided in their solution ",International Ladies' Garment Workers' Union 
coo.31924002005183,"Know your schools, Tompkins County, New York ","League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924002335606,"Twenty-fifth anniversary testimonial to Harry Greenberg for twenty-five years of union service, 1913-1938 ","International Ladies' Garment Workers' Union Local 91 (New York, N.Y.) "
coo.31924002403206,"Official report of the Strike committee, Chicago garment workers' strike October 29, 1910-February 19, 1911 ",Women's Trade Union League of Chicago 
coo.31924003667635,Annual report ,International Ladies' Garment Workers' Union Union Health Center. 
coo.31924000838536,Our aim ,"International Ladies' Garment Workers' Union Local 91, New York. "
coo.31924003806647,Washington consumers' checkbook ,National Consumers' League 
coo.31924001693591,Comments on the New York State unemployment insurance program a memorandum ,International Ladies' Garment Workers' Union 
coo.31924002306748,"In the Supreme Court of the United States, October term, 1946. National Labor Relations Board, petitioner, vs. Donnelly Garment Co., Donnelly Garment Workers' Union and International Ladies' Garment Workers' Union. International Ladies' Garment Workers' Union, petitioner, vs. Donnelly Garment Co., Donnelly Garment Workers' Union and National Labor Relations Board on writs of certiorari to the United States Circuit Court of Appeals for the eighth circuit. Brief for Donnelly Garment Workers' Union ",International Ladies' Garment Workers' Union 
coo.31924003833435,The Ladies' garment worker ,International Ladies' Garment Workers' Union 
coo.31924014071959,Know your county ,League of Women Voters (U.S.) 
coo.31924003670282,Convention report ,Women's Trade Union League of New York 
coo.31924050114770,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924003365503,Local government in Tompkins County ,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924003806647,How to prepare evaluative guides to job training programs ,National Consumers' League 
coo.31924050114770,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924003806662,Women in job training implementation of the Job Training Partnership Act in selected communities ,League of Women Voters (U.S.) Education Fund. 
coo.31924014071041,Know your city government ,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924050117898,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924050114762,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924050117898,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924050114796,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924050117948,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924050117914,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924050117948,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924050118011,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924054221704,Annual report ,Women's Trade Union League of New York 
coo.31924050118193,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924054285857,Financial and statistical report ,International Ladies' Garment Workers' Union Convention. 
coo.31924050118227,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924054285881,Financial and statistical report ,International Ladies' Garment Workers' Union 
coo.31924054285857,Financial and statistical report ,International Ladies' Garment Workers' Union 
coo.31924054285899,Financial and statistical report ,International Ladies' Garment Workers' Union Convention. 
coo.31924054285956,Report of the General Executive Board to the ... Convention ,International Ladies' Garment Workers' Union General Executive Board. 
coo.31924013764737,What next for New York's Joads? ,Consumers' League of New York City 
coo.31924054286210,Our aim ,"International Ladies' Garment Workers' Union Local 91, New York. "
coo.31924014007771,Taxes and tax trends ,League of Women Voters (U.S.) 
coo.31924014071033,Know your county government ,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
coo.31924054285899,Financial and statistical report ,International Ladies' Garment Workers' Union 
coo.31924054286228,Our aim ,"International Ladies' Garment Workers' Union Local 91, New York. "
coo.31924054285923,Report of the General Executive Board to the ... Convention ,International Ladies' Garment Workers' Union General Executive Board. 
coo.31924054286236,Our aim ,"International Ladies' Garment Workers' Union Local 91, New York. "
coo.31924054286046,Report of the General Executive Board to the ... Convention ,International Ladies' Garment Workers' Union General Executive Board. 
coo.31924054331503,Proceedings of the...annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
coo.31924050114762,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924054518901,"In the Supreme Court of the United States, Oct. term 1946. National Labor Relations Board, petitioner, vs. Donnelly Garment Company, a corporation; Donnelly Garment Workers' Union; and International Ladies' Garment Workers' Union, respondents. International Ladies' Garment Workers' Union, petitioner vs. Donnelly Garment Company, Donnelly Garment Workers' Union and National Labor Relations Board, respondents. On writs of certiorari to the United States Circuit Court of Appeals for the Eighth Circuit. Brief for respondent, Donnelly Garment Company ",International Ladies' Garment Workers' Union 
coo.31924050117906,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924050117989,Report and proceedings ,International Ladies' Garment Workers' Union Convention. 
coo.31924055835783,"Justice (N.Y. N.Y., 1919) ",International Ladies' Garment Workers' Union 
coo.31924050117989,Report and record ,International Ladies' Garment Workers' Union Convention. 
coo.31924058762521,The Woman's journal ,League of Women Voters (U.S.) 
