,htid,person
0,hvd.32044011813458,"Stevens, Doris 1892-1963 "
1,hvd.32044031715816,"Stevens, Doris 1892-1963 "
2,mdp.39015080257093,"Stevens, Doris 1892-1963 "
3,hvd.32044087355707,"Stevens, Doris 1892-1963 "
4,iau.31858030672558,"Stevens, Doris 1892-1963 "
5,mdp.39015009198824,"Stevens, Doris 1892-1963 "
0,mdp.39015032766316,"Willis, Ellen. "
1,mdp.39015032766316,"Willis, Ellen. "
2,mdp.39015048768363,"Willis, Ellen. "
3,mdp.39015032766316,"Willis, Ellen. "
4,mdp.39015032766316,"Willis, Ellen. "
0,iau.31858023968278,"Hale, Ruth. "
0,aeu.ark:/13960/t4rj69w6s,"Glaspell, Susan 1882-1948 "
1,coo1.ark:/13960/t6pz5s55c,"Glaspell, Susan 1882-1948 "
2,uc1.$b242960,"Glaspell, Susan 1882-1948 "
3,uc1.$b319451,"Glaspell, Susan 1882-1948 "
4,uc1.$b319451,"Glaspell, Susan 1882-1948 "
5,uc2.ark:/13960/t5r786v80,"Glaspell, Susan 1882-1948 "
6,uc2.ark:/13960/t84j0cd8j,"Glaspell, Susan 1882-1948 "
7,uc2.ark:/13960/t84j0cd8j,"Glaspell, Susan 1882-1948 "
8,hvd.32044010201861,"Glaspell, Susan 1882-1948 "
9,nyp.33433076089709,"Glaspell, Susan 1882-1948 "
10,uc1.$b319451,"Glaspell, Susan 1882-1948 "
11,uc2.ark:/13960/t84j0cd8j,"Glaspell, Susan 1882-1948 "
0,uc1.b2803697,"Hale, Ruth 1887-1934 "
0,hvd.hxdmv3,"Miller, Alice Duer Mrs 1874- "
1,loc.ark:/13960/t4bp0r901,"Miller, Alice Duer Mrs 1874- "
2,loc.ark:/13960/t9k36hd2d,"Miller, Alice Duer Mrs 1874- "
3,uc1.b3553129,"Miller, Alice Duer Mrs 1874- "
4,uc1.$b299166,"Miller, Alice Duer Mrs 1874- "
5,uc2.ark:/13960/t9n29qp79,"Miller, Alice Duer Mrs 1874- "
6,uc1.$b379893,"Miller, Alice Duer Mrs 1874- "
7,uc2.ark:/13960/t5n87d21t,"Miller, Alice Duer Mrs 1874- "
8,wu.89098882871,"Miller, Alice Duer Mrs 1874- "
9,uc2.ark:/13960/t3jw87q6s,"Miller, Alice Duer Mrs 1874- "
10,nyp.33433112009059,"Miller, Alice Duer Mrs 1874- "
11,uc1.b3342597,"Miller, Alice Duer Mrs 1874- "
0,uc1.32106012997273,"Lazarre, Jane "
0,mdp.39015019233363,"Flynn, Elizabeth Gurley. "
1,mdp.39015013426286,"Flynn, Elizabeth Gurley. "
2,mdp.39015068647703,"Flynn, Elizabeth Gurley. "
3,mdp.39015068648263,"Flynn, Elizabeth Gurley. "
4,mdp.39015073492111,"Flynn, Elizabeth Gurley. "
5,mdp.39015073492129,"Flynn, Elizabeth Gurley. "
6,mdp.39015079021856,"Flynn, Elizabeth Gurley. "
7,osu.32435059517300,"Flynn, Elizabeth Gurley. "
8,mdp.39015068648255,"Flynn, Elizabeth Gurley. "
9,mdp.39015068648669,"Flynn, Elizabeth Gurley. "
10,mdp.39015068648685,"Flynn, Elizabeth Gurley. "
11,osu.32435056494610,"Flynn, Elizabeth Gurley. "
12,osu.32435063483309,"Flynn, Elizabeth Gurley. "
13,umn.31951002084024f,"Flynn, Elizabeth Gurley. "
14,uiug.30112064448555,"Flynn, Elizabeth Gurley. "
15,mdp.39015059780711,"Flynn, Elizabeth Gurley. "
16,mdp.39015079021849,"Flynn, Elizabeth Gurley. "
17,osu.32435056493943,"Flynn, Elizabeth Gurley. "
18,umn.31951001518101i,"Flynn, Elizabeth Gurley. "
19,umn.31951001952131n,"Flynn, Elizabeth Gurley. "
0,mdp.39015016145933,"Morgan, Robin. comp. "
1,mdp.39015001659104,"Morgan, Robin. comp. "
0,coo.31924073944716,"Brown, Rita Mae. "
1,mdp.39015005916245,"Brown, Rita Mae. "
2,mdp.39015015382842,"Brown, Rita Mae. "
3,mdp.39015020643766,"Brown, Rita Mae. "
4,mdp.39015015401212,"Brown, Rita Mae. "
5,mdp.39015016208426,"Brown, Rita Mae. "
6,mdp.39015032151949,"Brown, Rita Mae. "
7,mdp.39015002148016,"Brown, Rita Mae. "
8,mdp.39015041770531,"Brown, Rita Mae. "
9,mdp.39015037305235,"Brown, Rita Mae. "
10,mdp.39015039890879,"Brown, Rita Mae. "
11,mdp.39015047717791,"Brown, Rita Mae. "
12,mdp.39015047866101,"Brown, Rita Mae. "
13,mdp.39015056462297,"Brown, Rita Mae. "
14,mdp.39015063249232,"Brown, Rita Mae. "
15,mdp.39015012966225,"Brown, Rita Mae. "
16,mdp.39015013355816,"Brown, Rita Mae. "
17,mdp.39015014577772,"Brown, Rita Mae. "
18,mdp.39015041887970,"Brown, Rita Mae. "
19,mdp.39015041887970,"Brown, Rita Mae. "
