BOOK_ID,TITLE,AUTHOR,AUTHOR_ID,PUBLISHER,YEAR,#LIBRARIES,ABSTRACT,YEAR_CLEAN,GENRE,GENRE2,NOTES,HATHI_ID
rh_165,Collected Stories Of William Faulkner,"Faulkner, William",1109,Random House,1950,1972,Forty-two American short stories.,1950,LIT,,,
rh_404,The Disenchanted,"Schulberg, Budd",3221,Random House,1950,1140,,1950,LIT,,,
rh_414,The Blood Bay Colt,"Farley, Walter",1102,Random House,1950,1068,"A boy is entrusted to attend the birth, train, and drive a blood bay colt that is the great hope of an aging reinsman who refuses to be reconciled to the fact that sulky-racing has moved from the county fair to the big night time, moneymaking raceways.",1950,WEST,YA,,
rh_630,Paul Revere And The Minute Men,"Fisher, Dorothy Canfield",1143,Random House,1950,835,Recounts the story of the American patriot who rode from Boston to Lexington to warn his fellow citizens that the British were coming.,1950,HIST,,,
rh_677,Cakes And Ale,"Maugham, W Somerset",2425,Random House,1950,776,"Presents the satiric novel that many claim as their favorite among Maugham's works, about a man born of English peasants who gained fame only after he became old.",1950,LIT,,,
rh_932,Pocahontas And Captain John Smith,"Lawson, Marie A",2153,Random House,1950,632,The story of the Virginia colony.,1950,YA,HIST,,
rh_1118,"World Enough And Time,","Warren, Robert Penn",3785,Random House,1950,546,"In the admixture of wilderness and elegant society that was 1826 Kentucky, Jeremiah Beaumont, a brilliant, imaginative lawyer, stood trial for murdering his benefactor and father figure, the politician Colonel Cassius Fort. Now all the documents are in hand to reconstruct Beaumont's life story -- his crime, his trial, his ultimate sin, and punishment -- and the historian-narrator of World Enough and Time sets about doing just that. Based on the famous murder case known as the Kentucky Tragedy, World Enough and Time is, like its precursor All the King's Men, a fictional wonder that personifies history, philosophy, politics, and passion.",1950,LIT,HIST,,
rh_1356,Moulin Rouge,"La Mure, Pierre",2089,Random House,1950,455,,1950,HIST,,,
rh_1636,Springtime In Paris,"Paul, Elliot",2831,Random House,1950,384,,1950,LIT,,,
rh_2360,Collected Stories,"Faulkner, William",1109,Random House,1950,240,"A total of 42 stories that chronicle life and death in the South. This magisterial collection of short works by Nobel Prize-winning author William Faulkner reminds readers of his ability to compress his epic vision into narratives as hard and wounding as bullets. Among the 42 selections in this book are such classics as ""A Bear Hunt, "" ""A Rose for Emily, "" Two Soldiers, "" and ""The Brooch.""",1950,LIT,,,
rh_2427,Jubel'S Children,"Kaufman, Lenard",1951,Random House,1950,225,,1950,LIT,,,
rh_2753,No Survivors,"Henry, Will",1647,Random House,1950,185,Custer's last stand.,1950,WEST,,,
rh_2919,"Bambi'S Children,","Salten, Felix",3170,Random House,1950,159,"This sequel to ""Bambi"" tells the story of the first year in the lives of his children, Geno and Gurri. The twin fawns grow up to learn all the hazards, joys and terrors of life in the wild, and Faline, the doe, guards and protects them as all mothers do.",1950,YA,,,
rh_2987,"The Saint,","Unruh, Fritz Von",3706,Random House,1950,152,,1950,LIT,,,
rh_3123,World Enough And Time,"Warren, Robert Penn",3785,Random House,1950,1722,"A story in which a young man falls in love with a woman he has never seen, a woman who has been betrayed by his benefactor and friend, and takes on himself the execution of her vengeance. The background is Kentucky in the first quarter of the last century, when the frontier existed side by side with the beginnings of a more elegant society.",1950,LIT,HIST,,
rh_3203,The Barons,"Wertenbaker, Charles,",3836,Random House,1950,133,,1950,ROM,HIST,,
rh_4103,"Through A Glass, Darkly","Mccloy, Helen",2460,Random House,1950,67,,1950,DET,,,
rh_4551,Knight Of Florence,"Evernden, Margery",1086,Random House,1950,48,,1950,HIST,,,
rh_4565,The Red Tassel,"Dodge, David",139,Random House,1950,50,,1950,DET,,,
rh_4614,Shortstop Shadow,"Brier, Howard M",437,Random House,1950,48,,1950,YA,,,
rh_4750,The Daffodil Blonde,"Crane, Frances",801,Random House,1950,43,,1950,DET,,,
rh_4974,The City Beyond Devil'S Gate,"Janet, Lillian",1847,Random House,1950,39,,1950,HIST,ROM,,
rh_5456,The Pony Express,"Adams, Samuel Hopkins",22,Random House,1950,793,"A history of the ""Pony"" with stories of the ""bad men"" outlaws, and Indians who were a constant threat to the mail riders.",1950,HIST,WEST,,
rh_6018,The Best Go First,"O'Rourke, Frank",2758,Random House,1950,19,,1950,DET,,,
rh_6368,"The Watchful Gods, And Other Stories","Clark, Walter Van Tilburg",677,Random House,1950,321,,1950,LIT,,,
rh_6524,Signal Thirty-Two,"Kantor, Mackinlay",1936,Random House,1950,319,,1950,DET,,,
rh_6739,The Complete Novels Of Jane Austen,"Austen, Jane",135,Random House,1950,12,,1950,LIT,ROM,,
rh_6851,"Clarissa, Or, The History Of A Young Lady","Richardson, Samuel",3040,Random House,1950,11,"Through a series of letters, the tragic history of Clarissa Harlowe and her ruthless pursuer Robert Lovelace unfolds--Novelist.",1950,LIT,,1798 novel?,
rh_8195,"Barchester Towers, And The Warden","Trollope, Anthony",3675,Random House,1950,5,,1950,LIT,,,
rh_8561,Ski Patrol,"Atwater, Montgomery M",130,Random House,1950,4,,1950,YA,,,
rh_8786,The Way Of All Flesh,"Butler, Samuel",525,Random House,1950,4,,1950,LIT,HIST,,
rh_9309,The Watchful Gods And Other Stories,"Clark, Walter Van Tilburg",677,Random House,1950,3,,1950,LIT,,,
rh_1364,Lie Down In Darkness,"Styron, William",3539,Random House,"1992, 1951",458,William Styron traces the betrayals and infidelities--the heritage of spite and endlessly disappointed love--that afflict the members of a Southern family.,1951,HIST,LIT,,
rh_668,The Lewis And Clark Expedition,"Neuberger, Richard L",2694,Random House,1951,798,"A fictionalized account of the historic overland expedition to the Pacific Coast and back, led by Meriwether Lewis and William Clark.",1951,YA,HIST,,
rh_1072,The Farmers Hotel,"O'Hara, John",2752,Random House,1951,579,Story of a group of people snowbound in a hotel on the night of it reopening.,1951,LIT,ROM,,
rh_1125,The Vikings,"Janeway, Elizabeth",1848,Random House,1951,541,An account of the trips to Greenland and America by Eric the Red and Leif Erickson.,1951,YA,HIST,,
rh_2874,The Island Stallion'S Fury,"Farley, Walter",1102,Random House,1951,168,"Pitch and Steve's secret island valley is discovered and invaded by a hard and vicious man, who is a threat to the island stallion and his band.",1951,YA,,,
rh_2893,Never Look Back,"Eberhart, Mignon Good",1010,Random House,1951,164,,1951,DET,,,
rh_2939,Requiem For A Nun,"Faulkner, William",1109,Random House,1951,2068,"In order to save a nurse convicted of murder, Temple Stevens decides to confess that she killed her own daughter.",1951,LIT,DET,,
rh_2975,Unwilling Pirate,"Lathrop, West",2134,Random House,1951,149,"Even when he is captured by pirates, a seven-year-old boy continues to search for his missing father through his long ordeal of being maltreated and lost at sea.",1951,HIST,YA,,
rh_3474,Strong Wings,"Robinson, Mabel Louise",3084,Random House,1951,107,"Constance, who has had one year of college, and her two younger siblings live on their own in Maine while their parents are overseas.",1951,LIT,,,
rh_3565,Murder On The Left Bank,"Paul, Elliot",2831,Random House,1951,99,,1951,DET,,,
rh_4128,The Storm Cloud,"Rogers, Lettie Hamlett",3095,Random House,1951,67,Daughter of a wealthy Chinese family and Vassar graduate is a leader of a revolution in 1927.,1951,LIT,,,
rh_4230,The Polkadot Murder,"Crane, Frances",801,Random House,1951,63,,1951,DET,,,
rh_4288,Home Is An Island,"Lewis, Alfred",2207,Random House,1951,57,,1951,LIT,,,
rh_5130,Most Men Don'T Kill,"Alexander, David ",139,Random House,1951,34,,1951,DET,,,
rh_5623,Murder In Black And White,"Alexander, David ",139,Random House,1951,25,,1951,DET,,,
rh_7213,The Catcher In The Rye,"Salinger, J D",3168,Random House,1951,9,,1951,LIT,YA,,
rh_9098,The Grass Harp,"Capote, Truman",564,Random House,1951,3,,1951,DET,,,
rh_9383,Tess Of The D'Urbervilles,"Hardy, Thomas",1541,Random House,1951,3,Tragic story of a woman betrayed.,1951,LIT,,,
rh_5410,"The Corpse That Came Back,","Lang, Theo",2117,Random House,"1954, 1952",29,,1952,FAN,SCI,horror/post-apoc,
rh_419,The Black Stallion'S Filly,"Farley, Walter",1102,Random House,1952,1061,"Henry Dailey buys a spoiled, contrary two-year-old filly, a daughter of the Black, in November, and is determined to have a Kentucky Derby candidate by May.",1952,YA,,,
rh_1560,Let It Come Down,"Bowles, Paul",387,Random House,1952,399,,1952,LIT,DET,flaneur-like,
rh_1994,Boy Of The Pyramids,"Jones, Ruth Fosdick",1903,Random House,1952,308,"Ten-year-old Kaffe, his father, and his friend Sari, a slave-girl, try to solve the mystery of the pyramid's missing jewels by catching the thief.",1952,YA,HIST,informational fiction,
rh_3196,"Come, Fill The Cup","Ware, Harlan",3782,Random House,1952,135,,1952,LIT,ROM,,
rh_3288,Dead Men'S Plans,"Eberhart, Mignon Good",1010,Random House,1952,128,,1952,DET,,,
rh_3451,Rustlers On The High Range,"Atwater, Montgomery M",130,Random House,1952,114,"His loyalties torn between his own family ties to the cattlemen's association and his friendship with two troubleshooters for the hated Forest Service, a young rancher works to save the range from overgrazing and rustlers.",1952,WEST,,,
rh_3692,The Black Gardenia,"Paul, Elliot",2831,Random House,1952,91,Only in Hollywood will you find a woman called The Black Gardenia -- and only in Homer Evans a detective original enough to complement the most delightful array of madcaps ever encountered in the annals of crime--Jacket flap.,1952,DET,,,
rh_3790,To Catch A Thief,"Dodge, David",139,Random House,1952,86,,1952,DET,,,
rh_3805,Rose'S Last Summer,"Millar, Margaret",2551,Random House,1952,81,"To most of the people in La Mesa, Rose French's only claim to fame was the brilliant explosiveness of her periodic binges. Frank Clyde and a few others knew that she had been a great star in the days of silent pictures, had married and left five husbands, and that Rose at sixty still had the vitality of a force of nature. Frank was a young social worker who sometimes let his feelings color his work, and Rose was his favorite case history. When that history came to a sudden end in a deserted garden, Frank was deeply affected. The coroner's jury pronounced Rose dead of natural causes, but Frank had his doubts ... --",1952,DET,,,
rh_4129,Cinder Cyclone,"Brier, Howard M",437,Random House,1952,67,,1952,YA,,sports novel,
rh_4179,The Frontiers,"Strachey, John",3526,Random House,1952,64,,1952,LIT,ROM,,
rh_4284,"The Eye Of The Kite,","Macliesh, Fleming",2315,Random House,1952,57,,1952,DET,,,
rh_4320,The Double Man,"Reilly, Helen",3011,Random House,1952,57,,1952,DET,,,
rh_4521,The Golden Trail,"Evernden, Margery",1086,Random House,1952,51,"Ramon Morales, a Spanish colonist, travels from Mexico to found the city of San Francisco. Grades 5-7.",1952,HIST,,,
rh_7654,It'S Different For A Woman,"Ward, Mary Jane",3777,Random House,1952,102,Character study of a middle-aged wife and mother who feels uncertain of herself.,1952,LIT,,,
rh_8151,Beyond Human Ken,"Merril, Judith",2530,Random House,1952,114,,1952,SCI,FAN,,
rh_9371,Selected Writings Of Herman Melville,"Melville, Herman",2522,Random House,1952,3,,1952,LIT,,,
rh_132,The Bridges At Toko-Ri,"Michener, James A",2545,Random House,1953,2240,"Young and innocent, they came to a place they had barely heard of, prepared for war. They were American fighter pilots, assigned to bomb a group of heavily defended bridges during the Korean War. Trained but frightened, facing an enemy they couldn't understand, and waging a war they had to win.",1953,DET,,,
rh_472,The Black Stallion Revolts,"Farley, Walter",1102,Random House,1953,1082,"When his wild black stallion revolts against the routine and schedule of stable life, becoming a killer and a threat, a plane crash thwarts Alec's plans to give the Black a free run in the desert and brings danger to both boy and horse.",1953,YA,,sports as well,
rh_780,The Winter At Valley Forge,"Mason, F Van Wyck",2409,Random House,1953,723,"An account of the hunger, cold, disease and despair suffered by General Washington's troops during their six-month winter encampment at Valley Forge.",1953,HIST,,,
rh_1252,King Arthur And His Knights,"Robinson, Mabel Louise",3084,Random House,1953,495,Tales of King Arthur and his knights from the birth of Arthur to the destruction of Camelot.,1953,HIST,FAN,,
rh_1846,Big Black Horse,"Farley, Walter",1102,Random House,1953,334,"A simplified adaptation of the author's The Black Stallion, in which a boy and a wild black horse save each other's life during a shipwreck at sea.",1953,YA,,,
rh_2699,The Chain In The Heart,"Creekmore, Hubert",808,Random House,1953,187,,1953,HIST,,multi-generation,
rh_2785,The Man Who Wouldn'T Talk,"Reynolds, Quentin James",3021,Random House,1953,177,Canadian serves British Intelligence Service by posing as a half-wit with the French underground during the World War.,1953,LIT,,,
rh_2794,Far From The Customary Skies,"Eyster, Warren",1089,Random House,1953,182,"This book is absorbing reading not for plot interest, but for the controlled awareness of the tensions and impulses and emotions of men who become real people and whose futures somehow become involved in one's own reckoning. One follows the life on a destroyer, as the crude makings of its complement of crew are brought into unity; one lives the daily round, the areas of boredom, the little tensions that make up the big issues; the violence and antagonism and kinship and linking that provide variants in human relations. One gets some flashbacks into the men's lives, but little except as their pasts project themselves into occasional dreams of futures. One goes through storm and battle and attack by air and undersea. One senses the changing attitude towards danger, the minimizing of fear, the heightened awareness. There's little sense of mounting climax- rather a succession of climaxes until the destroyer Dreher is torpedoed- and Malone, to whom it is all or nothing, sacrifices his fellows to the slim chance of his own brief glory and Polock alone, who had dared escape, is left to the chance of the vast sea reaches of the Pacific.--Kirkus Review.",1953,HIST,,,
rh_3283,The Unknown Quantity,"Eberhart, Mignon Good",1010,Random House,1953,129,,1953,DET,,,
rh_3400,The Velvet Hand,"Reilly, Helen",3011,Random House,1953,114,,1953,DET,,,
rh_3455,Wilderness Passage,"Blake, Forrester",325,Random House,1953,114,,1953,HIST,WEST,,
rh_3587,River Circus,"Lathrop, West",2134,Random House,1953,97,,1953,HIST,,,
rh_3773,"Waylaid In Boston,","Paul, Elliot",2831,Random House,1953,84,,1953,DET,,,
rh_4242,13 White Tulips,"Crane, Frances",801,Random House,1953,59,,1953,DET,,,
rh_4347,Murder In Bright Red,"Crane, Frances",801,Random House,1953,57,,1953,DET,,,
rh_4583,Ketti Shalom,"Murdock, James",2659,Random House,1953,49,,1953,LIT,DET,,
rh_4886,"Black Death,","Gilbert, Anthony",1334,Random House,1953,40,,1953,DET,,,
rh_6240,Murder Points A Finger,"Alexander, David ",139,Random House,1953,17,,1953,DET,,,
rh_9920,St Mawr And The Man Who Died,"Lawrence, D H",2149,Random House,1953,2,,1953,DET,,,
rh_267,No Time For Sergeants,"Hyman, Mac",1800,Random House,1954,1592,A Southern inductee into the army tries to help everyone but always gets into trouble.,1954,HIST,,,
rh_1445,"The Desperate Hours,","Hayes, Joseph",1608,Random House,1954,437,"The experiences of the Hilliards, a family threatened by threeescaped convicts who take over their home and hold the family as hostages.",1954,DET,,,
rh_2027,The Black Stallion'S Sulky Colt,"Farley, Walter",1102,Random House,1954,289,"A racing accident resulting in a frightened horse and an injured driver leads Alec Ramsey and Henry Dailey to try harness racing, working a son of the Black toward the Hambletonian.",1954,YA,,sports,
rh_2839,A Fable,"Faulkner, William",1109,Random House,1954,2422,An allegorical story of World War I set in the trenches in France and dealing ostensibly with a mutiny in a French regiment.,1954,LIT,,,
rh_2890,Man Missing,"Eberhart, Mignon Good",1010,Random House,1954,160,,1954,DET,,,
rh_3233,Death Of A Legend,"Henry, Will",1647,Random House,1954,127,Based on the life of Jesse James.,1954,WEST,,,
rh_3469,The Fourth Horseman,"Henry, Will",1647,Random House,1954,107,"It was one of the ugliest feuds in the remembered history of the frontier--a war between cattlemen and sheep-herders. Frank Rachel rode into the Basin with nothing but a powerful desire to start his own spread. Suddenly, there was fighting all around him, and Rachel was forced to call on the naked nerve he didn't even know he possessed--to kill, or lose everything.",1954,WEST,,,
rh_3494,"Bride Of The Conqueror,","Spence, Hartzell",3437,Random House,1954,106,,1954,HIST,,,
rh_3542,The Faulkner Reader,"Faulkner, William",1109,Random House,1954,1460,Selections from the works of.,1954,LIT,,,
rh_3570,Sayonara,"Michener, James A",2545,Random House,1954,1875,"This tale of love and war set during the Korean War tells the story of Major Lloyd Gruver. The son of an army general stationed in Japan, dating a general's daughter, Gruver was happy with his life. He didn't understand the soldiers who fell in love with Japanese girls. Then he met Hana-ogi.",1954,LIT,,,
rh_3808,Journey By The River,"Prescott, John",2937,Random House,1954,81,Novel of heroism and adventure along the Oregon Trail.,1954,WEST,,,
rh_3815,Hackenfeller'S Ape,"Brophy, Brigid",456,Random House,1954,86,,1954,LIT,,,
rh_3859,Midshipman Lee Of The Naval Academy,"White, Robb",3870,Random House,1954,83,Story of life at Annapolis.,1954,LIT,,,
rh_4002,Tell Her It'S Murder,"Reilly, Helen",3011,Random House,1954,71,,1954,DET,,,
rh_4130,The Day Of The Lion,"Rimanelli, Giose",3055,Random House,1954,67,,1954,HIST,,,
rh_4160,Beyond The Barriers Of Space And Time,"Merril, Judith",2530,Random House,1954,64,,1954,SCI,FAN,,
rh_4232,The Lights Of Skaro,"Dodge, David",139,Random House,1954,61,,1954,SCI,FAN,Dr. Who,
rh_4237,The Coral Princess Murders,"Crane, Frances",801,Random House,1954,61,,1954,DET,,,
rh_4399,Clown Of The Gods,"Young, Agatha",3997,Random House,1954,55,,1954,LIT,ROM,,
rh_4434,Proud Land,"Forster, Logan",1191,Random House,1954,54,,1954,WEST,,,
rh_4564,Unfinished Crime,"Mccloy, Helen",2460,Random House,1954,50,,1954,WEST,,,
rh_4600,A Long Time Since Morning,"Griffith, Leon Odell",1460,Random House,1954,50,,1954,LIT,,,
rh_5176,Paint The Town Black,"Alexander, David ",139,Random House,1954,33,,1954,DET,,,
rh_6590,Family Shoes Illustrated By Richard Floethe,"Streatfeild, Noel",3529,Random House,1954,13,Big events and small incidents in the day-to-day life of the family of an English clergyman.,1954,LIT,,,
rh_9119,Family Shoes,"Streatfeild, Noel",3529,Random House,1954,3,Big events and small incidents in the day-to-day life of the family of an English clergyman.,1954,YA,,,
rh_9308,The Jungle Seas,"Ageton, Arthur A",28,Random House,1954,67,,1954,ROM,HIST,,
rh_182,Band Of Angels,"Warren, Robert Penn",3785,Random House,1955,1864,"Amantha Starr, who was sent to Ohio at age nine to receive an education, does not return to her father's Kentucky plantation until she learns of his death. At his graveside she is shocked to learn that her mother had been a plantation slave, and now she, Amantha, is being sold by her father's creditors. This is her story for a search of freedom.",1955,ROM,HIST,,
rh_514,The Island Stallion Races,"Farley, Walter",1102,Random House,1955,954,Two visitors from another world enter the secret valley of Azul Island and provide Steve with a chance to see how Flame can do in competition with the world's fastest horses.,1955,YA,,,
rh_1156,Reclining Figure,"Kurnitz, Harry",2084,Random House,1955,530,,1955,LIT,,play,
rh_1170,"Waterfront,","Schulberg, Budd",3221,Random House,1955,539,"This novel was published after the movie ""On the Waterfront"" and more closely approximates Schulberg's screenplay than does the film. The novel centers on mob activity at the docks in New York and New Jersey.",1955,LIT,,,
rh_1318,Heritage,"West, Anthony",3837,Random House,1955,477,Autobiographical novel by the son of H.G. Wells and Rebecca West.,1955,LIT,,,
rh_2784,"Alice In Wonderland,","Carroll, Lewis",594,Random House,1955,177,A little girl falls down a rabbit hole and discovers a world of nonsensical and amusing characters.,1955,YA,,,
rh_3106,In A Farther Country,"Goyen, William",1413,Random House,1955,146,,1955,ROM,,,
rh_3287,The Dark Arena,"Puzo, Mario",2959,Random House,1955,127,,1955,DET,,,
rh_3717,Who Rides With Wyatt,"Henry, Will",1647,Random House,1955,89,,1955,WEST,,,
rh_3767,Grandfather Stories,"Adams, Samuel Hopkins",22,Random House,1955,1148,"Collection of tales told by the author's grandfather, of the early days of New York State.",1955,HIST,,,
rh_3894,Sierra Baron,"Blackburn, Thomas Wakefield",320,Random House,1955,80,,1955,WEST,,,
rh_4483,"A Question Of Murder,","Gilbert, Anthony",1334,Random House,1955,51,,1955,DET,,,
rh_4634,Chains Of Command,"Goethals, Thomas",1364,Random House,1955,47,,1955,LIT,,action/adventure,
rh_4785,Invasion Of Privacy,"Kurnitz, Harry",2084,Random House,1955,42,,1955,DET,,,
rh_5286,Shoot A Sitting Duck,"Alexander, David ",139,Random House,1955,30,,1955,DET,,,
rh_5300,Davy Crockett,"Davis, Hazel",139,Random House,1955,31,,1955,YA,HIST,,
rh_7091,The Decameron,"Boccaccio, Giovanni",347,Random House,1955,10,,1955,FAN,,,
rh_9085,Grimm'S Fairy Tales,"Dobbs, Rose",929,Random House,1955,3,,1955,YA,FAN,questionable YA tag,
rh_9654,"Go Down, Moses","Faulkner, William",1109,Random House,1955,2,,1955,LIT,,,
rh_9871,Lucy Crown,"Shaw, Irwin",3274,Random House,1955,2,,1955,LIT,,,
rh_417,Don'T Go Near The Water,"Brinkley, William",441,Random House,1956,1061,Humorous novel about the Public Relations section of the Navy in the second World War.,1956,LIT,,,
rh_1727,"Savrola,","Churchill, Winston",663,Random House,1956,372,"This is Sir Winston Churchill's only novel, recounting political unrest and ultimate revolution to overthrow a dictator in a fictional country.",1956,HIST,LIT,,
rh_1755,The West Point Story,"Reeder, Red",2997,Random House,1956,356,"An ""account of the trying days Colonel Thayer had establishing the West Point pattern--a pattern which would furnish leaders, for our nation in war and peace ... You discover here the testing ground in which these leaders have been moulded."" Publisher's note.",1956,LIT,,,
rh_1812,And Walk In Love,"Buckmaster, Henrietta",495,Random House,1956,342,,1956,HIST,,,
rh_1883,A Christmas Memory,"Capote, Truman",564,Random House,1956,337,In this vignette the author looks back on a holiday in his childhood and the cousin who made it memorable.,1956,LIT,,semi autobiographical,
rh_1893,The Black Stallion'S Courage,"Farley, Walter",1102,Random House,1956,333,"In order to raise money to rebuild a one-hundred-thousand-dollar barn, destroyed by fire, Alec returns to racing the Black.",1956,YA,,sport,
rh_2977,Prater Violet,"Isherwood, Christopher",1816,Random House,1956,149,,1956,LIT,,,
rh_3348,The Three Legions,"Solon, Gregory",3415,Random House,1956,116,,1956,HIST,,,
rh_3555,The Black And The Red,"Paul, Elliot",2831,Random House,1956,99,,1956,DET,,,
rh_3684,The Adventures Of Captain Mccargo,"Ratigan, William",2982,Random House,1956,93,,1956,DET,,,
rh_3987,"The Canvas Dagger,","Reilly, Helen",3011,Random House,1956,76,,1956,DET,,,
rh_4153,The Enchanted Summer,"Kisinger, Grace Gelvin",2027,Random House,1956,64,"Football hero Buff Allison finally becomes aware of 16-year-old Deborah during the summer, and she faces her first romantic conflict and gains maturity through the experience.",1956,ROM,,,
rh_4243,"Riddle Of A Lady,","Gilbert, Anthony",1334,Random House,1956,59,,1956,DET,,,
rh_4353,Horror On The Ruby X,"Crane, Frances",801,Random House,1956,57,,1956,DET,FAN,,
rh_4425,Two-Thirds Of A Ghost,"Mccloy, Helen",2460,Random House,1956,54,,1956,DET,,,
rh_5298,Riley Goes To Obedience School,"Robinson, Mabel Louise",3084,Random House,1956,31,,1956,YA,,,
rh_5922,"Die, Little Goose","Alexander, David ",139,Random House,1956,21,,1956,YA,,,
rh_9108,The Last Of The Wine,"Renault, Mary",3014,Random House,1956,3,,1956,HIST,,,
rh_9459,Of Human Bondage,"Maugham, William Somerset",2426,Random House,1956,3,A young man struggling for self-realization becomes caught up in a destructive love affair that forever alters his life--Novelist.,1956,LIT,,,
