AUTHOR,GENDER,RACE,DATE,TITLE,GENRE,PUBLISHER
Aphra Behn,male,white,1950,"Selected writings of the ingenious Mrs. Aphra Behn: comprising the four novels, and selected verse and translations",fiction,GROVE
Henry Miller ,male,white,1950,The Rosy Crucifixion,fiction,GROVE
Aphra Behn,male,white,1950,"Comprising the four novels: ""The adventure of the black lady"" ""The court of king bantum, ""The unfortunate happy lady"" & ""The fair jilt' a comedy in five acts"" ""The dutch lover"" and selected verse and translations",fiction,GROVE
Henry James,male,white,1952,The Golden Bowl,fiction,GROVE
M.G. Lewis,male,white,1952,The Monk,fiction,GROVE
Herman Melville,male,white,1952,"White Jacket, or, The World in a man-of-war",fiction,GROVE
In-Sop Chong,male,asian,1952,Folk Tales from Korea,fiction,GROVE
Amos Tutuola,male,black,1953,The palm-wine drinkard and his dead palm-wine tapster in the Dead's Town,fiction,GROVE
Giovanni Verga,male,white,1953,The house by the medlar tree,fiction,GROVE
Giovanni Verga,male,white,1953,Little novels of Sicily,fiction,GROVE
Kaie Tsitele,male,white,1953,No name in the street,fiction,GROVE
Samuel Beckett,male,white,1953,Watt,fiction,GROVE
Henry James,male,white,1953,The sacred fount,fiction,GROVE
Raymond Radiguet,male,white,1953,Count d' Orgel,fiction,GROVE
Paul Radin,male,white,1953,The world of primitive man,fiction,GROVE
Grove Press,na,na,1953,Books for Fall 1953,fiction,GROVE
George Washington Harris,male,white,1954,Sut Lovingood,fiction,GROVE
Vernon Lee,female,white,1954,The Snake lady and other stories,fiction,GROVE
Amos Tutuola,male,black,1954,My life in the Bush of Ghosts,fiction,GROVE
Chapman Mortimer,male,white,1954,"Young man waiting, a novel",fiction,GROVE
Xiaoxiaosheng,male,asian,1954,The Golden Lotus,fiction,GROVE
Samuel Beckett,male,white,1955,Molloy: a novel,fiction,GROVE
Mark Twain,male,white,1955,"Pudd'nhead, a tale",fiction,GROVE
íŠmile Zola,male,white,1955,Earth,fiction,GROVE
Giovanni Verga,male,white,1955,Mastro-don Gesualdo,fiction,GROVE
Edmond de Goncourt,male,white,1955,Germinie,fiction,GROVE
Fyodor Dostoyevsky,male,white,1955,The insulted and injured,fiction,GROVE
Nicholas Halasz,male,white,1955,Captain Dreyfus; the story of a mass hysteria,fiction,GROVE
Robert Falk,male,white,1955,The antic music: American writers in parody,fiction,GROVE
David Cooke,male,white,1955,Murder by 14,fiction,GROVE
