vol_id,page_seq,entity,type
uc1.31210013615552,00000002,University Library,ORGANIZATION
uc1.31210013615552,00000002,University Library,ORGANIZATION
uc1.31210013615552,00000002,University Library,ORGANIZATION
uc1.31210013615552,00000002,University Library an · University Library,ORGANIZATION
uc1.31210013615552,00000002,University Library Gia Library The University Library Monivesse,ORGANIZATION
uc1.31210013615552,00000002,University Library,ORGANIZATION
uc1.31210013615552,00000002,University Library,ORGANIZATION
uc1.31210013615552,00000002,University Library Lamam,ORGANIZATION
uc1.31210013615552,00000002,University Library y Library Post,ORGANIZATION
uc1.31210013615552,00000003,University Library,ORGANIZATION
uc1.31210013615552,00000003,University Library CAGARANad Library,ORGANIZATION
uc1.31210013615552,00000003,Uni RSITY OF CALIFORNIA/RIVERSIDE,MISC
uc1.31210013615552,00000003,CALIFORNIA,LOCATION
uc1.31210013615552,00000003,University Library,ORGANIZATION
uc1.31210013615552,00000003,Obrery A,MISC
uc1.31210013615552,00000003,University Library MBANERSITY,ORGANIZATION
uc1.31210013615552,00000003,1958,DATE
uc1.31210013615552,00000003,GRIVERSITY OF CALAFORMIA/umans,MISC
uc1.31210013615552,00000007,HARRY POTTER,PERSON
uc1.31210013615552,00000008,J. K. ROWLING Harry Potter,PERSON
uc1.31210013615552,00000009,MARY GRANDPRÉ ARTHUR A. LEVINE,PERSON
uc1.31210013615552,00000009,J.K. ROWLING,PERSON
uc1.31210013615552,00000009,HARRY POTTER,PERSON
uc1.31210013615552,00000010,NY,LOCATION
uc1.31210013615552,00000010,Permissions Department,ORGANIZATION
uc1.31210013615552,00000010,ARTHUR A. LEVINE,PERSON
uc1.31210013615552,00000010,J.K. Rowling,PERSON
uc1.31210013615552,00000010,20 19 18 17 16 15 14 13 12 11 Fiction,DATE
uc1.31210013615552,00000010,J. K. Rowling,PERSON
uc1.31210013615552,00000010,England,LOCATION
uc1.31210013615552,00000010,New York,LOCATION
uc1.31210013615552,00000010,Scholastic Inc.,ORGANIZATION
uc1.31210013615552,00000010,Broadway,LOCATION
uc1.31210013615552,00000010,Scholastic Inc.,ORGANIZATION
uc1.31210013615552,00000010,J. K. Harry Potter,PERSON
uc1.31210013615552,00000010,1999,DATE
uc1.31210013615552,00000010,U.S.A.,ORGANIZATION
uc1.31210013615552,00000010,Hogwarts School for Witchcraft,ORGANIZATION
uc1.31210013615552,00000010,1998,DATE
uc1.31210013615552,00000010,Mary GrandPré,PERSON
uc1.31210013615552,00000010,1920,DATE
uc1.31210013615552,00000010,1999,DATE
uc1.31210013615552,00000010,Fic,MISC
uc1.31210013615552,00000010,Harry Potter,PERSON
uc1.31210013615552,00000010,SCHOLASTIC,ORGANIZATION
uc1.31210013615552,00000010,SCHOLASTIC,LOCATION
uc1.31210013615552,00000010,Scholastic Inc.,ORGANIZATION
uc1.31210013615552,00000010,Congress Cataloging-in-Publication Data Rowling,ORGANIZATION
uc1.31210013615552,00000010,Scholastic Press,ORGANIZATION
uc1.31210013615552,00000011,P. F. HARRIS,PERSON
uc1.31210013615552,00000013,Blotts,ORGANIZATION
uc1.31210013615552,00000013,Gilderoy Lockhart,PERSON
uc1.31210013615552,00000013,Dobby,PERSON
uc1.31210013615552,00000014,Dobby,PERSON
uc1.31210013615552,00000015,HARRY POTTER,PERSON
uc1.31210013615552,00000017,his,PERSON
uc1.31210013615552,00000017,his,PERSON
uc1.31210013615552,00000017,Vernon Dursley,PERSON
uc1.31210013615552,00000017,Dursleys,ORGANIZATION
uc1.31210013615552,00000017,Harry,PERSON
uc1.31210013615552,00000017,Privet Drive,LOCATION
uc1.31210013615552,00000017,He,PERSON
uc1.31210013615552,00000017,his,PERSON
uc1.31210013615552,00000017,Dudley,PERSON
uc1.31210013615552,00000017,he,PERSON
uc1.31210013615552,00000017,he,PERSON
uc1.31210013615552,00000017,She,PERSON
uc1.31210013615552,00000017,her,PERSON
uc1.31210013615552,00000017,his,PERSON
uc1.31210013615552,00000017,Harry,PERSON
uc1.31210013615552,00000017,Uncle Vernon,PERSON
uc1.31210013615552,00000017,She,PERSON
uc1.31210013615552,00000017,Petunia,PERSON
uc1.31210013615552,00000017,Harry,PERSON
uc1.31210013615552,00000018,his,PERSON
uc1.31210013615552,00000018,his,PERSON
uc1.31210013615552,00000018,Harry,PERSON
uc1.31210013615552,00000018,his,PERSON
uc1.31210013615552,00000018,her,PERSON
uc1.31210013615552,00000018,Harry,PERSON
uc1.31210013615552,00000018,his,PERSON
uc1.31210013615552,00000018,his,PERSON
uc1.31210013615552,00000018,his,PERSON
