,volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = yes,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,v_sent_score,tb_sent_score,ht_sent_score,v_sent,tb_sent,ht_sent
0,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,12.0,8.0,Frontier,,letter,,"The negotiation was both tedious and troublesome, and for a long time had an unpromising aspect, but it came at last to as favorable an issue as could have been expected; and I trust will be attended with consequences friendly to the frontier parts of the United States.",0.9473,-0.05500000000000001,-0.9677057862281799,Positive,Neutral,NEGATIVE
1,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,12.0,9.0,Frontier,,letter,VA,"There are, however, several nations on the Wabash, and the rivers which empty themselves into it, that are ill disposed, and from whom there is reason to expect, that a part of the frontier of Virginia, and the settlement forming on the Miami, will meet annoyance; indeed, that they have not been disturbed during the winter was not expected, either by me or the chiefs of the nations, who met me at fort Harmar.",-0.5742,-0.13749999999999998,0.9855751991271973,Negative,Neutral,POSITIVE
2,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,14.0,11.0,Frontier,,letter,,"But the disputes which exist between some of the United States, and several powerful tribes of Indians within the limits of the Union; and the hostilities which have, in several instances, been committed on the frontiers, seem to require the immediate interposition of the General Government.",0.5023,0.0875,0.9888790845870972,Positive,Neutral,POSITIVE
3,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,14.0,15.0,Frontier,,letter,,"How far such a measure, unassisted by posts, would be competent to the establishment and preservation of peace and tranquillity on the frontiers, is, also, a matter which merits your serious consideration.",0.8779,0.06666666666666667,0.9922270774841309,Positive,Neutral,POSITIVE
4,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,14.0,32.0,Frontier,,letter,,"Number 2, which will be submitted shortly, will shew the situation of the Southern Indians, and contain some observations on the difficulties subsisting between them and the frontier people of the States of Georgia and North Carolina.",-0.2263,0.0,0.9968444108963013,Neutral,Neutral,POSITIVE
5,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,14.0,38.0,Frontier,,letter,,"By information from Brigadier General Harmar, the commanding officer of the troops on the frontiers, it appears that several murders have been lately committed on the inhabitants, by small parties of Indians, probably from the Wabash country.",-0.0516,-0.125,-0.939176619052887,Neutral,Neutral,NEGATIVE
6,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,23.0,33.0,Frontier,,letter,,"The white people on the frontier continuing their encroachments; they pursue their surveys into the Indian country, and destroy the game there.",-0.5423,-0.20000000000000004,-0.996325671672821,Negative,Neutral,NEGATIVE
7,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,26.0,27.0,Frontier,,letter,,"It was but a little while, however, before several murders were committed on our frontier, and which have been repeated, from time to time, until mutual hostilities have at length taken place on the whole length of our borders and a war, by the savages, is now raging with all its horrors.",-0.9843,0.00416666666666667,-0.9828402996063232,Negative,Neutral,NEGATIVE
8,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,27.0,1.0,Frontier,,letter,GA,"The Secretary of the United States for the Department of War, in obedience to the order of Congress of the 15th instant to report a plan for the protection of the frontier of Georgia, agreeably to the principle of the resolve of Congress of the 21st of July, 1787, reports: That he conceives it is intended the protection to be afforded the State of Georgia, should be complete, in case the Creek Indians should persist in refusing to enter into a treaty on reasonable terms, and to comprehend all :) operations offensive, as well as defensive, that may be deemed necessary for the full accomplishment of the object.",0.3818,0.16428571428571428,0.9960024952888489,Positive,Neutral,POSITIVE
9,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,27.0,7.0,Frontier,,letter,GA,"That the case is widely different on the frontiers of Georgia, no troops of the United States being there, nor is it easily practicable to remove any considerable body from the Ohio, were the measure expedient in other respects.",0.2177,0.10208333333333333,-0.9901378154754639,Neutral,Neutral,NEGATIVE
10,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,27.0,8.0,Frontier,,letter,GA,"That this difference of circumstances will require a different and more extensive arrangement for the protection of the frontier of Georgia than any that were contemplated by the aforesaid resolve of the 21st of July, 1787.",0.3818,0.125,0.9830890893936157,Positive,Neutral,POSITIVE
11,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832.0,27.0,9.0,Frontier,,letter,GA,"That the frontier of Georgia may be protected either by a large body of militia, detached from time to time, or by a corps of troops regularly organized and enlisted for a certain period.",0.5423,0.14285714285714285,0.9883584380149841,Positive,Neutral,POSITIVE
