volume_id,title,page,sentence,keyword,Ontopic?1=no,P=positveN=negative[empty]=neutral/other-ForONTOPIConly,context,before_sentence,after_sentence,year
inu.30000037515214,Elaine Reichek--native intelligence /,21,27,Frontier,quotes,,"Back in the ""frontier"" days, European women were sometimes captured by Indian groups.","Even now there is an iconography to them; the patterns are classic. It is a natural setup for Reichek, who does them as well as those earlier women did, but deliberately reengages them in her study of ethnography. Reichek doesn't think to farm the work out to genteel ladies for authenticity, she does it with authenticity herself. But by adding to her samplers phrases and images she takes from elsewhere, she subverts them and makes them go out of doors. When she includes the words of Indians it isn't to give those people a voice but to make the samplers talk sass to ethnography—after all, these embroideries themselves must surely appear in some ethnographic study or another.","Back in the ""frontier"" days, European women were sometimes captured by Indian groups. Most often they had no wish to return to white society. Reichek rescues these samplers in the same way. Although the samplers do not speak directly to photography, as the knitting does, I imagine that they do because Reichek seems to have taken photography-asknowledge as her special adversary. The photograph is too quick to involve much knowledge, she says.",1992
inu.30000048157907,"Natives of the Golden State, the California Indians /",242,2,Frontier,,,Now the miners on the eastern frontier will be in constant dread of attacks.,"there seems to be only one company of 20 men. On breaking out of Indian hostilities, the miners abandoned their claims—thousands of bushels of thrown-up earth—their all and have lost a great deal.","Now the miners on the eastern frontier will be in constant dread of attacks. The rainy season will be the signal for general depredations, during which many valuable lives will be lost. ""29 Joaquin Miller, in his book on the Modocs, told of a company of white men ""under a ruffian named Ben Wright,"" who engaged the Modocs in a fight. ""The Indians fought under cover of rocks and trees, and so being hard to reach, generally came off best. In this emergency Wright proposed to meet the chiefs in council to make a permanent treaty.",1995
inu.30000048157907,"Natives of the Golden State, the California Indians /",289,3,Frontier,,,"To foster and stimulate racism, there was General Anthony Wayne, who began to organize and train his frontier army.","these four Acts, passed in 1790,1793,1796, and a second one in 1796, had a major goal, to centralize Indian affairs, allowing for total federal control and the right to acquire cession of Indian land as desired. A provision was also made to issue passports to anyone desiring to enter Indian land. Nonetheless, racism directed against the natives increased markedly during this time.","To foster and stimulate racism, there was General Anthony Wayne, who began to organize and train his frontier army. He expressed his policy in this way: ""I hope by this time every idea of peace is done away with. By the sword we must procure peace."" Wayne had begun his activities in 1794 and by the time California was admitted to statehood, bigotry and racism were alive and well in the land. With the emigrants from the east flocking to California, came the Anthony Wayne variety of bigotry, a clarion call to genocide.",1995
inu.32000003230234,"David Cusick's sketches of ancient history of the Six nations, comprising first--a tale of the foundation of the Great Island, (now North America,) the two infants born, and the creation of the universe. Second--a real account of the early settlers of North America, and their dissensions. Third--origin of the kingdom of the Five nations, which was called a Long House: the wars, fierce animals, &c.",27,6,Frontier,,,About this time the Twakanhah or Messissaugers began to wage a war against the five nations; the Senecas on the frontier were most engaged in the warfare.,"After a few days by his exertions, the men's strength was revived. and were capable to hunt. After they had come back to the town the ambassy was so shamefully abused by the people, he was compelled to leave his wife and the country. About this time the Ottawahs became numerous and powerful nation, occupied an extensive country lying between the Lake Erie and the Ohio river, and was supposed their national force amounted to about 4000 men. In the reign of Kink Atotarho VIII, perhaps 4000 years before the Columbus discovered America.","About this time the Twakanhah or Messissaugers began to wage a war against the five nations; the Senecas on the frontier were most engaged in the warfare. After various skirmishes the enemy was so excited that they determined to destroy the fort Kauhanauka, (now in Tuscarora near Lewiston,) but the commander of the fort was aware of the danger, he sent messengers to the forts in the vicinity, and about eight hundred warriors were collected at fort Kauhanauka. The commander had sent runners to observe the movements of the enemy. The army marched towards the river, and hid themselves among the bushes under the mountain; the enemy came up; a bloody battle ensued ; the enemy was repulsed and flies from the foe. The army retired to the fort; soon after the commander despatched two runners to the forts on the Genesee river to procure assistance as sooon as possible ; the army received reinforcements ; they made bark canoes and carried them to the mouth of the Niagara river; the canoes were ready, the commander sent a chieftain and offered the enemy an intermission or parley, but the proposal was not accepted; the army immediately crossed the river and made vigorous attack: the enemy was routed and fled from the bank without making resistance, retreated towards the head of the lake; after burning the huts, the army returned to the fort; but the commotions were not quelled; small parties of the Senecas often take the canoes and go by water towards the head of Ontario lake, in search of the enemy, but they avoid from attack of superior force; several engagements were made on the lake with small parties of the enemy; after a while the commander of the fort Kauhanauka, was ardent to attack the main body of the enemy; he sends runners beyond the Genesee river, and obtained two thousand warriors: the army again crossed the Niagara river and proceeded towards the head of the lake, but before reached the beach met a strong force of the enemy; after a desperate contest the army retreated; the commander soon perceived that it was impossible to gain the conquest, sued for peace and offered to restore the prisoners which he took from them which was concluded.",1848
inu.32000003230234,"David Cusick's sketches of ancient history of the Six nations, comprising first--a tale of the foundation of the Great Island, (now North America,) the two infants born, and the creation of the universe. Second--a real account of the early settlers of North America, and their dissensions. Third--origin of the kingdom of the Five nations, which was called a Long House: the wars, fierce animals, &c.",32,10,Frontier,,,"The war lasted for many years; unfortunately it became so distressed that the Tuscarora's frontier settlements were reduced considerably, but the Tuscaroras send expresses and received assistance from their breteren, the Five Nations, and war was carried on for some time: at last the enemy was compelled to suspend their hostility.","The men were anxiously waiting, and were suspicious about her; a man was sent to see if she was coming; he advanced where she was assaulted, and discovered the place of her remains; he soon perceived their fate; he immediately reported and the men immediately proceeded to the place; and while examining her remains the bear made a vigorous attack; the men met a severe engagement, but in the meantime the monster was killed: they procured some of the meat for useful purposes. Atotarho XI, perhaps about 150 years before Columbus discovered America. About this time the Tuscaroras sends messengers and renewed their intercourse with the five nations. The Tuscaroras were yet numerous and had twenty-four large towns, and probably could muster six thousand warriors. They possessed the country lying between the sea shores and the mountains, which divide the Atlantic states; but afterwards a contest arose and the southern nations, the Oyatoh, Kwntariroraunuh, Caweda.","The war lasted for many years; unfortunately it became so distressed that the Tuscarora's frontier settlements were reduced considerably, but the Tuscaroras send expresses and received assistance from their breteren, the Five Nations, and war was carried on for some time: at last the enemy was compelled to suspend their hostility. The Bear tribes nominate the Chief Warrior of the nation. The laws of the confederation provides the Onondagas to furnish a King, and the Mowhawks a great war chief of the Five Nations. About this time an earthquake was felt throughout the kingdom, supposed a large comet fell into some of the lakes; and other signs were seen in the heavens. The defender ceased from visiting the people in bodily form, but appeared to the prophet.",1848
inu.32000003230234,"David Cusick's sketches of ancient history of the Six nations, comprising first--a tale of the foundation of the Great Island, (now North America,) the two infants born, and the creation of the universe. Second--a real account of the early settlers of North America, and their dissensions. Third--origin of the kingdom of the Five nations, which was called a Long House: the wars, fierce animals, &c.",33,2,Frontier,,,"The Keatahkiehroneah, were fighting with the neighboring tribes and were injurious to the frontier settlements.","35 kept in the river continually to cover their retreat; but after a while the Mohegans expaliated the war: the chief of the Mowhawks received orders from the King, and invited the two confederate nations, the Oneidas and the Onondagas, to unite against the common enemy; the band of the combined forces immediately crossed the river and revenged a part of the country, and the enemy were compelled to sue for peace. In the reign Atotarho XIII, in the year 1492, Columbus discovered the America.","The Keatahkiehroneah, were fighting with the neighboring tribes and were injurious to the frontier settlements. The five nations sends Tho. with an army of five thousand warriors and defeated the Keatahiehroneah and drove them west of the Ohio River; and they lay waste the enemies country, and attacked other tribes &c. About this time the Erians declared a war against the Five Nations; a long bloody war ensued; at last the Erians were driven from the country, and supposed were incorporated with some of the southern nations: after which the kingdom enjoyed without disturbance for many years. The Mowhawk was considered the oldest language of the confedemacy: Mowhawk, Tuscarora. 1.",1848
inu.39000004373945,Our home forever : the Hupa Indians of northern California /,61,14,Frontier,,,"These white residents wanted the Indians removed, as Indians east of California had been, but the only place west of the frontier was the ocean.","In 1850, only two years after the United States acquired the territory from Mexico, the government saw that something would have to be done quickly for the native people. Indian Sub-agent Adam Johnston wrote that the white men had taken Indian lands and resources, introduced strange diseases, and provoked violent confrontations.4 Those who read his reports knew that the Indians were suffering as a result, but they did not know how to deal with the problem. What had been done in the past offered no solutions for California. In the other territories, the government had tried to relocate the Indians before whites settled the area. But there were already more than a hundred thousand white men in California, which became a state on September 9, 1850.","These white residents wanted the Indians removed, as Indians east of California had been, but the only place west of the frontier was the ocean. So officials proposed a new solution: they would set aside islands of land in this new state for the native people. Like previous policy, this would protect the Indians from the worst effects of settlement by separating them from the whites. At the same time, it would open vast tracts of Indian land to eager white settlers and miners.5 47",1988
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,17,15,Frontier,,,"His fife as~a prophet of war andTiis attempt to defeat the .whites in the Southern frontier, ace""chronicled by Frank L. Owsley, Jr.","-~-'-~-™-«----——~TEetn""ree prophets from the East inclutteMain Poc. a Potawatomi wabeno or medicine man, who is the subject of the second essay by R. David T^mun~ds7TEe*Potawatomi Prophet emerges as a man of considerable power, using his ''medicinjf^topro3u^e^6sitive""and ill influences wfthTn his world._Most important, Main Poc is presented as a prophet of war who stood against the Americans during the War of 1812 and allied his power with Tecumseh and Tenskwatawa. Like Main Poc, the Creek Prophet Josiah Francis rallied his people to war against. the American during the same conflict. A contemporary of Main Poc, Francis joined Tecumseh s effort to form an Indian confed: eracy to stand against the advancing Americans.","His fife as~a prophet of war andTiis attempt to defeat the .whites in the Southern frontier, ace""chronicled by Frank L. Owsley, Jr. In contrast to Main Poc, Tenskwataw^'ahdTTaTncTsrthe Kickapoo Prophet Kenekuk was a man of accommodation. ""Rather than inciting his followers to take up arms against the whites, Kenekuk urged his followers to live in peace with *the Americans while malntammgTfi'eirIdentity as Indians. According to Joseph B. HerrtngTthef Kickapoo Prophet offered a syncretic religion based on evangelical Protestantism, Catholic ritualism, and traditional Kickapoo ceremonialism. Through his.rcXigjpn Kenekuk preserved th^Jndian^way and prevented the acculturation of his people.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,42,0,Frontier,,white frontier,"24 Osages protested to American officials, and some of the captives were returned, others were kept for several years in Main Poc's village.9 iwhile Main Poc warred against the Osages, Shawnee tribesmen in Ohio and Indiana watched in dismay as the advancing white frontier poured around them.",,"24 Osages protested to American officials, and some of the captives were returned, others were kept for several years in Main Poc's village.9 iwhile Main Poc warred against the Osages, Shawnee tribesmen in Ohio and Indiana watched in dismay as the advancing white frontier poured around them. In the spring of 1805, when a former ne'er-dowell experienced a vision that promised deliverance, the Shawnees and neighboring tribesmen listened in wonder, then turned to the new holy man for a religious solution to their problems. At first many Indians regarded Tenskwatawa, the Shawnee Prophet, as a charlatan, but when he successfully predicted an eclipse of the sun in June 1806, even many of the former scoffers were converted. Main Poc probably learned of the rapidly spreading new religion from the Kickapoos^ who were among the Prophet's first disciples, but as tribesmen from throughout the west journeyed to the Shawnee's village near Greenville, Ohio, the Potawatomi wabeno joined them. Evidence suggests that he did not regard Tenskwatawa as a ""rival,"" but he certainly was interested in learning more about the new deliverance.10 \ Main Poc arrived at Greenville late in October 1807 and spent almost two months conferring with Tenskwatawa.",1986
inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,56,5,Frontier,,,"Moreover, the Creeks had lost lands to the whites and had suffered at the hands of encroaching frontiersmen who, on occasions, had mistreated individual Creeks.","38 farmers, and like William Weatherford, Samuel Mims, and Samuel Manac established large plantations with numbers of slaves.16 There were very few whites who knew that the Creeks were unhappy until after 1811, and even then no one had any idea of the degree of the trouble. Agent Hawkins normally had, or thought he had, close contact with the Indians, but he probably did not recognize the problem simply because the leaders he knew, the older chiefs, were well satisfied. These men were out of touch with their own people, particularly the younger mixed bloods.17 It is evident that feelings of hostility had existed among the Creeks for a long time, but they had remained dormant. They exploded into war in 1813 in part because of English and Spanish pressure.","Moreover, the Creeks had lost lands to the whites and had suffered at the hands of encroaching frontiersmen who, on occasions, had mistreated individual Creeks. The Georgia frontier was often hostile, but much of the Alabama frontier seemed surprisingly friendly. In this area there was a considerable amount of assimilation and intermarriage between whites and Indians. Since the Alabama frontier experienced the bloodiest attack, it is evident that the apparent tranquility stirred the deepest anger among the hostiles. What may have triggered the most resentment and fear among the Indians was the construction of a federal wagon road from the Georgia frontier to the Alabama settlements.",1986
