,volume_id,title,year,page,sentence,keyword,Ontopic?1=no,P=positveN=negative[empty]=neutral/other-ForONTOPIConly,context,v_sent_score,tb_sent_score,siebert_sent_score,bertweet_sent_score,v_sent,tb_sent,siebert_sent,bertweet_sent
0,inu.30000037515214,Elaine Reichek--native intelligence /,1992.0,21,27,Frontier,quotes,,"Back in the ""frontier"" days, European women were sometimes captured by Indian groups.",0.0,0.0,-0.5892841815948486,-0.6740487217903137,Neutral,Neutral,NEGATIVE,NEG
1,inu.30000048157907,"Natives of the Golden State, the California Indians /",1995.0,242,2,Frontier,,,Now the miners on the eastern frontier will be in constant dread of attacks.,-0.7096,0.0,-0.9970302581787109,-0.9479478001594543,Negative,Neutral,NEGATIVE,NEG
2,inu.30000048157907,"Natives of the Golden State, the California Indians /",1995.0,289,3,Frontier,,,"To foster and stimulate racism, there was General Anthony Wayne, who began to organize and train his frontier army.",-0.4939,0.05000000000000002,-0.985150158405304,0.8197703957557678,Negative,Neutral,NEGATIVE,NEU
3,inu.32000003230234,"David Cusick's sketches of ancient history of the Six nations, comprising first--a tale of the foundation of the Great Island, (now North America,) the two infants born, and the creation of the universe. Second--a real account of the early settlers of North America, and their dissensions. Third--origin of the kingdom of the Five nations, which was called a Long House: the wars, fierce animals, &c.",1848.0,27,6,Frontier,,,About this time the Twakanhah or Messissaugers began to wage a war against the five nations; the Senecas on the frontier were most engaged in the warfare.,-0.4779,0.5,-0.8679906725883484,0.9197008609771729,Negative,Positive,NEGATIVE,NEU
4,inu.32000003230234,"David Cusick's sketches of ancient history of the Six nations, comprising first--a tale of the foundation of the Great Island, (now North America,) the two infants born, and the creation of the universe. Second--a real account of the early settlers of North America, and their dissensions. Third--origin of the kingdom of the Five nations, which was called a Long House: the wars, fierce animals, &c.",1848.0,32,10,Frontier,,,"The war lasted for many years; unfortunately it became so distressed that the Tuscarora's frontier settlements were reduced considerably, but the Tuscaroras send expresses and received assistance from their breteren, the Five Nations, and war was carried on for some time: at last the enemy was compelled to suspend their hostility.",-0.9749,0.025,0.9902538657188416,-0.8132429718971252,Negative,Neutral,POSITIVE,NEG
5,inu.32000003230234,"David Cusick's sketches of ancient history of the Six nations, comprising first--a tale of the foundation of the Great Island, (now North America,) the two infants born, and the creation of the universe. Second--a real account of the early settlers of North America, and their dissensions. Third--origin of the kingdom of the Five nations, which was called a Long House: the wars, fierce animals, &c.",1848.0,33,2,Frontier,,,"The Keatahkiehroneah, were fighting with the neighboring tribes and were injurious to the frontier settlements.",-0.3612,0.0,-0.9949907660484314,-0.6356406211853027,Negative,Neutral,NEGATIVE,NEG
6,inu.39000004373945,Our home forever : the Hupa Indians of northern California /,1988.0,61,14,Frontier,,,"These white residents wanted the Indians removed, as Indians east of California had been, but the only place west of the frontier was the ocean.",0.0,0.0,-0.9927364587783813,0.864797830581665,Neutral,Neutral,NEGATIVE,NEU
7,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,17,15,Frontier,,,"His fife as~a prophet of war andTiis attempt to defeat the .whites in the Southern frontier, ace""chronicled by Frank L. Owsley, Jr.",-0.7845,0.0,0.98612380027771,0.9617680311203003,Negative,Neutral,POSITIVE,NEU
8,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,42,0,Frontier,,white frontier,"24 Osages protested to American officials, and some of the captives were returned, others were kept for several years in Main Poc's village.9 iwhile Main Poc warred against the Osages, Shawnee tribesmen in Ohio and Indiana watched in dismay as the advancing white frontier poured around them.",-0.7717,0.06666666666666667,-0.9839059710502625,0.58924800157547,Negative,Neutral,NEGATIVE,NEU
9,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,56,5,Frontier,,,"Moreover, the Creeks had lost lands to the whites and had suffered at the hands of encroaching frontiersmen who, on occasions, had mistreated individual Creeks.",-0.6705,0.0,-0.9830871820449829,-0.95395827293396,Negative,Neutral,NEGATIVE,NEG
10,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,56,6,Frontier,,,"The Georgia frontier was often hostile, but much of the Alabama frontier seemed surprisingly friendly.",0.743,0.2875,0.9984447360038757,0.9555822014808655,Positive,Neutral,POSITIVE,POS
11,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,56,8,Frontier,,,"Since the Alabama frontier experienced the bloodiest attack, it is evident that the apparent tranquility stirred the deepest anger among the hostiles.",-0.743,0.10000000000000003,0.988849937915802,-0.6417824625968933,Negative,Neutral,POSITIVE,NEG
12,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,56,9,Frontier,,,What may have triggered the most resentment and fear among the Indians was the construction of a federal wagon road from the Georgia frontier to the Alabama settlements.,-0.7688,0.5,-0.9880765676498413,-0.9002618789672852,Negative,Positive,NEGATIVE,NEG
13,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,58,3,Frontier,,,"Isaacs' ammunition and a large contingent from the Coweta towns finally forced Francis to withdraw the seige.25 Following the attack on Tookaubatchee, Big Warrior and his people abandoned the town and moved to the Georgia frontier.",-0.8442,-0.03714285714285716,0.9859495759010315,0.9515385627746582,Negative,Neutral,POSITIVE,NEU
14,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,59,2,Frontier,,American frontier,"Governor David Holmes of the Mississippi Territory warned the American frontier, requesting that people move into the forts and blockhouses.",-0.2732,0.0,-0.9909865260124207,0.8968457579612732,Neutral,Neutral,NEGATIVE,NEU
15,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,59,3,Frontier,,,"He also ordered the territorial militia to the frontier, and a number of units were sent to scout the Indians.",0.0772,0.0,0.992755115032196,0.9760394096374512,Neutral,Neutral,POSITIVE,NEU
16,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,61,22,Frontier,,,"The entire frontier was in a state of panic.""1",0.0,0.0,-0.9884505271911621,-0.9438106417655945,Neutral,Neutral,NEGATIVE,NEG
17,inu.39000004593427,American Indian prophets : religious leaders and revitalization movements /,1986.0,68,3,Frontier,,American frontier,"While Francis recruited followers from both the Creeks and Seminoles and was a leader among the Seminoles at Fowltown, he was apparently not responsible for the attack those Indians made on the American frontier or for the massacre of Lieutenant R.W. Scott's party of 46 Americans.",-0.3318,-0.05,-0.9787269234657288,0.7854496836662292,Negative,Neutral,NEGATIVE,NEU
