,volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = no,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,v_sent_score,tb_sent_score,ht_sent_score,v_sent,tb_sent,ht_sent
0,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,20,46,extinct,,,race,"Manahoaks, formerly a great nation of Virginia, some time since extinct.",0.6249,0.2,0.9882870316505432,Positive,Neutral,NEGATIVE
1,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,21,21,extinct,,,race,"Nipmuks, interior of Massachusetts ; 1500 in 1675; long since extinct.",0.0,-0.225,0.9969070553779602,Neutral,Neutral,NEGATIVE
2,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,22,13,extinct,,,race,"Sokokies, anciently upon Saco River ; now extinct.",0.0,-0.4,0.9921850562095642,Neutral,Negative,NEGATIVE
3,nyp.33433081818449,"Journal of the exploring tour beyond the Rocky Mountains, under the direction of the American Board of Commissions for Foreign Missions, in the years 1835, '36, and '37; containing a description of the geography, geology, climate, productions of the country, and the number, manners, and customs of the natives: with a map of Oregon Territory.",1840,157,10,extinct,,,race,"It was upon this island the Multnomah Indians formerly resided, but they have become as a tribe, extinct.",0.0,-0.2,0.996801495552063,Neutral,Neutral,NEGATIVE
4,nyp.33433081818449,"Journal of the exploring tour beyond the Rocky Mountains, under the direction of the American Board of Commissions for Foreign Missions, in the years 1835, '36, and '37; containing a description of the geography, geology, climate, productions of the country, and the number, manners, and customs of the natives: with a map of Oregon Territory.",1840,218,10,extinct,,,race,"And if they should continue to diminish for twenty years to come, as they have during the last twenty, they will become almost extinct.",0.0,-0.2,0.9995469450950623,Neutral,Neutral,NEGATIVE
5,uiug.30112076560074,"Journal of a tour in the ""Indian territory,"" : performed by order of the Domestic Committee of the Board of Missions of the Protestant Episcopal Church, in the spring of 1844, by their secretary and general agent.",1844,26,11,extinct,,,race,"The Seminoles have no annuities however, and unless Government takes pity on their destitution, and having removed them here, does all it can for them, they must soon become extinct.",-0.5267,-0.25,0.9995027780532837,Negative,Neutral,NEGATIVE
6,uiug.30112076560074,"Journal of a tour in the ""Indian territory,"" : performed by order of the Domestic Committee of the Board of Missions of the Protestant Episcopal Church, in the spring of 1844, by their secretary and general agent.",1844,66,4,extinct,,,language,"That language is now almost extinct, being known only to less than a hundred persons, who linger on the banks of a branch of the Santee.",0.0,-0.18888888888888888,0.9989732503890991,Neutral,Neutral,NEGATIVE
7,uiug.30112076560074,"Journal of a tour in the ""Indian territory,"" : performed by order of the Domestic Committee of the Board of Missions of the Protestant Episcopal Church, in the spring of 1844, by their secretary and general agent.",1844,85,8,extinct,,,race,"Their progenitors, the Missourias, were, when the Flench first knew the country, the most numerous tribe in the vicinity of St. Louis; and the great stream, on whose banks they reside, and the State which has risen upon their hunting grounds, when the race is extinct, will bear their names to the generations of coming time.",0.6249,0.22999999999999998,0.9985986351966858,Positive,Neutral,POSITIVE
8,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,53,2,extinct,,1,animal,"They were, for some time, by many supposed to have been the bones of that animal; but they are pretty generally now believed to have belonged to a species of animal long since extinct.",0.6486,0.06999999999999999,0.990933895111084,Positive,Neutral,NEGATIVE
9,hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,122,9,extinct,,1,animal,"Many diell of hunger, some were buried deep in snow drifts, and for a time it was feared that almost all animal life would become extinct.",-0.6369,0.033333333333333326,0.9989244341850281,Negative,Neutral,NEGATIVE
10,uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,35,16,extinct,,,language,"Tº dred, and their languages, with the exception of the Narragansett, are nearly extinct.",0.0,-0.4,0.9993448853492737,Neutral,Negative,NEGATIVE
11,hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,543,20,extinct,1,,,Burial of Pawnee child attempted before life was extinct.....,0.0,-0.4,0.9808200001716614,Neutral,Negative,NEGATIVE
12,hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,553,22,extinct,1,,,"Nez Percés, deficiency in appropriation for ....... located at Oakland, Indian Territory, a brave, intelligent, and religious people.... 94 of Indian Territory, unless something is done for, will soon become extinct ......",0.7506,0.30000000000000004,0.9989758729934692,Positive,Neutral,NEGATIVE
13,uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,82,10,extinct,,,race,"*::::::::::: 1. 'º. the deserted remains that have been cºariº, described, and others of a similar character—the work of £º a people apparently long extinct, were the only evidence of a former civilization within the limits of the United States; yet a far different spectacle was presented on entering the regions farther south, where, instead of the buried relics of a former greatness, its living reality was found.",0.4215,-0.04375,0.9865314364433289,Positive,Neutral,NEGATIVE
14,inu.30000005072511,"The Sun Dance people; the Plains Indians, their past and present.",1972,18,9,extinct,,1,animal,"Some fifteen thousand years ago he stalked and killed animals now long extinct —the mammoth, the woolly rhinoceros, the wild camel.",-0.6705,-0.1375,0.9826982617378235,Negative,Neutral,NEGATIVE
15,inu.30000005072511,"The Sun Dance people; the Plains Indians, their past and present.",1972,38,0,extinct,,1,animal," At the end of the nineteenth century, the buffalo was almost extinct.",0.0,-0.4,0.9967660903930664,Neutral,Negative,NEGATIVE
16,uc1.31210001247749,Annual report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution.,1880,256,1,extinct,,,race,"The Watlala, a tribe of the Upper Tsinúk, whose burial place is here described, are now nearly extinct; but a number of the sepulchers still remain in different states of preservation.",0.1154,-0.13333333333333333,0.8320896625518799,Neutral,Neutral,POSITIVE
17,inu.30000008754222,Ohio archaeologist.,1992,39,1,extinct,,1,animal,"They have asked, in all candor, how much longer these losses can continue before the elephant, like so many other species, is finally driven to the point of extinction?",-0.0516,0.14375,0.9991450309753418,Neutral,Neutral,NEGATIVE
18,inu.30000008754222,Ohio archaeologist.,1992,39,3,extinct,,1,animal,"Early in this century an American president, Theodore Roosevelt, distressed over the wanton slaughter of the North American elk that had been going on for generations, asked his countrymen to stop using the upper canine teeth or ""tusks"" of these great animals as ornaments on watch fobs and tie tacks lest the elk too be driven to the point of extinction.",0.0258,0.18,0.9932987093925476,Neutral,Neutral,NEGATIVE
19,inu.30000008754222,Ohio archaeologist.,1992,39,13,extinct,,1,animal,"The slaughter of the American elk, including the total extinction of the Eastern elk and the Merriam elk and the near extinction of three of the four remaining sub-species, constitutes one of the sorriest chapters in our history.",0.0,0.03333333333333333,0.998889148235321,Neutral,Neutral,NEGATIVE
20,inu.30000008754222,Ohio archaeologist.,1992,39,14,extinct,,1,animal,Here in Ohio the last of our great Eastern elk (one of the two sub-species to become extinct in the nation in the nineteenth century) was shot and killed in Ashtabula County in October 1838.,-0.1027,0.05,0.9923710823059082,Neutral,Neutral,NEGATIVE
21,inu.30000008754222,Ohio archaeologist.,1992,55,27,extinct,,1,animal,"By 1848, after the state had established a bounty for wolf scalps in response to the demands of sheep growers, it was reported that wolves had finally become virtually extinct in Ohio.",0.0,-0.2,0.9989879727363586,Neutral,Neutral,NEGATIVE
22,inu.30000008754222,Ohio archaeologist.,1992,55,36,extinct,,1,animal,"She has already reported (1957:228) the discovery of a human tibia, a wolf bone, and a sloth bone at the Vero Site in Florida some 30 miles from Melbourne, and has noted that Frederick B. Loomis in 1923 found artifacts in the same horizon with bones of extinct animals including the mammoth and mastodon.]",0.0,-0.13333333333333333,0.6357207298278809,Neutral,Neutral,POSITIVE
23,hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,176,2,extinct,,,race,"The tribe, unless something is done for them, will soon become extinct.",0.0,-0.4,0.9996997117996216,Neutral,Negative,NEGATIVE
24,inu.30000020658773,Wetland adaptations in the Great Basin : papers from the Twenty-First Great Basin Anthopological [sic] Conference /,1990,177,14,extinct,,1,animal,"Hidden Cave has the most diverse carnivore assemblage, including the now extinct Nobel marten (Grayson 1985).",0.0,-0.022222222222222216,0.9956894516944885,Neutral,Neutral,POSITIVE
25,inu.30000020658773,Wetland adaptations in the Great Basin : papers from the Twenty-First Great Basin Anthopological [sic] Conference /,1990,226,28,extinct,,1,animal,"This is demonstrated by the presence of redband trout bones, as well as those of chub, dace, and an extinct form of",0.2732,-0.4,0.8975926041603088,Neutral,Negative,NEGATIVE
26,inu.30000020658773,Wetland adaptations in the Great Basin : papers from the Twenty-First Great Basin Anthopological [sic] Conference /,1990,251,9,extinct,,1,animal,"Of the 12 fish species native to the Utah Lake system, 11 are now extremely rare or extinct (Heckman et al. 1981).",0.0,-0.05000000000000002,0.9927409291267395,Neutral,Neutral,NEGATIVE
27,inu.30000020658773,Wetland adaptations in the Great Basin : papers from the Twenty-First Great Basin Anthopological [sic] Conference /,1990,262,8,extinct,,1,water,The site was split by an extinct channel of Spring Creek.,0.0,-0.4,0.9982706308364868,Neutral,Negative,NEGATIVE
28,hvd.32044043362714,A journal of American ethnology and archæology /,1908,149,4,extinct,,,clan,"At Wal-pi, however, one of these houses is extinct, so that at present the Flute celebration is confined to the remaining house.",0.0,-0.2,0.9992960691452026,Neutral,Neutral,NEGATIVE
29,inu.30000025479266,Bulletin of the Archaeological Society of New Jersey.,1995,63,15,extinct,1,,,"In History, Culture, and Ar1977), and perhaps even the onand off-shore paleontological chaeology of the Pine Barrens: Essays from the Third recoveries of extinct Pleistocene fauna such as mammoth, mastodon, walrus, and caribou, among others.",0.0,-0.13333333333333333,0.9779937267303467,Neutral,Neutral,POSITIVE
30,mdp.39015004258383,Annual report of the Bureau of American Ethnology to the secretary of the Smithsonian Institution.,1912,27,2,extinct,,,village,"The pueblo of Pojoaque is now practically extinct as an Indian settlement, only about six Tewa remaining in that village.",0.0,-0.2,0.9995349645614624,Neutral,Neutral,NEGATIVE
31,inu.30000025836002,"Creating America : an exhibition at the Beinecke Rare Book & Manuscript Library, Yale University /",1992,47,4,extinct,,1,animal,"Audubon felt that “nothing can accomplish their decrease,” but in less than a century, in 1914, the passenger pigeon was extinct.",0.2263,-0.2833333333333333,0.9992558360099792,Neutral,Neutral,NEGATIVE
32,inu.30000025836002,"Creating America : an exhibition at the Beinecke Rare Book & Manuscript Library, Yale University /",1992,47,19,extinct,,1,animal,The Carolina parakeet was extinct by the end of the century.,0.0,-0.4,0.9982399940490723,Neutral,Negative,NEGATIVE
33,inu.30000026242689,Bulletin : Eastern States Archeological Federation annual meeting proceedings.,1995,28,3,extinct,,1,animal,"From Cave no. 8, a caribou bone from stratum 3 dated 12,750 = 70 yr BP, two canines (perhaps from the same individual) of the extinct long-nosed pecarry (Platygonus compressus) from stratum 4 dated 12,160 + 80 and 12,220 + 60 yr BP (same bone) and 12,430 + 70 yr BP, and a molar from the extinct giant beaver Castoroides ohioensis from stratum 6B dated 11,670 + 70 yr BP.",0.0,-0.13333333333333333,0.9826027154922485,Neutral,Neutral,NEGATIVE
34,mdp.39015004258383,Annual report of the Bureau of American Ethnology to the secretary of the Smithsonian Institution.,1912,27,13,extinct,,,culture,"This fraternity finally became extinct, and wishing to reestablish it, the San Ildefonso people sent four men to the Sun",0.2263,-0.2,0.998742401599884,Neutral,Neutral,NEGATIVE
35,inu.30000041160445,"Upland adaptations in Lower Glen Canyon during the Archaic and Pueblo periods : archaeological data recovery at 20 sites along the Antelope Point Road (Route N22B) near Page, Arizona /",1992,44,2,extinct,,1,animal,"It is generally held that the basic adaptation during the period involved the hunting of large and now extinct mega-fauna (e.g., mammoth, mastodon, sloth, bear, giant bison, etc.).",0.0,-0.027142857142857146,0.6958758234977722,Neutral,Neutral,NEGATIVE
36,mdp.39015004258383,Annual report of the Bureau of American Ethnology to the secretary of the Smithsonian Institution.,1912,37,0,extinct,,,culture,"derstanding of their symbolism, the significance of which has become extinct.",0.2732,-0.4,0.9996771812438965,Neutral,Negative,NEGATIVE
37,mdp.39015004258383,Annual report of the Bureau of American Ethnology to the secretary of the Smithsonian Institution.,1912,399,7,extinct,,,culture,"The ancient Hopi ceramic art had become extinct whe from Awatobi, the pueblos on the Little Colorado, and the united with the Walpi settlement on the East Mesa, whence we can now obtain information of the character bolism of the Asa, Butterfly, Badger, and other Tewan",0.4215,-0.23750000000000002,0.99671471118927,Positive,Neutral,NEGATIVE
38,hvd.32044010452878,The Southern workman.,1916,458,10,extinct,,,race,"Avebury, Keith, and Osborn show conclusively that there is no gradual ascent of a single human type which culminates at last in the Caucasian, all the links discoverable, but rather that races develop here and there from the pre-human stem, to continue or to become extinct according to the conditions.",-0.1531,-0.11785714285714285,0.9783967137336731,Neutral,Neutral,NEGATIVE
39,hvd.32044010452878,The Southern workman.,1916,539,2,extinct,,,"quotation, race","The real name of this tribe is not known, but the word Hohokam is a Pima Indian word, meaning “that which is extinct.'",0.0,-0.1,0.9995763897895813,Neutral,Neutral,NEGATIVE
40,uc1.b3279181,"The conquest of Virginia, the forest primeval : an account, based on original documents, of the Indians in that portion of the continent in which was established the first English colony in America /",1916,376,4,extinct,,,"quotation, race","Strachey says: ""It is not long since that his priests told him how that from the Chesapeake Bay a nation should arise which should dissolve and give end to his empire, for which, not many years since (perplexed with this devilish oracle, and divers understanding thereof), according to the ancient and gentile customs, he destroyed and put to sword all such who might lie under any doubtful construction of the said prophecy, as all the inhabitants, the wer-ó-ance and his subjects of that province, and so remain all the Ches-si-o-pe-ians at this day, and for this cause, extinct.",-0.875,-0.1708333333333333,0.9900996088981628,Negative,Neutral,NEGATIVE
41,uc1.b3279181,"The conquest of Virginia, the forest primeval : an account, based on original documents, of the Indians in that portion of the continent in which was established the first English colony in America /",1916,476,1,extinct,,,"quotation, race","Should the tribe become extinct, the money or any part of it which was left, was to be paid into the public treasury.'",0.2023,-0.13333333333333333,0.9994187355041504,Neutral,Neutral,NEGATIVE
42,mdp.39015005561942,Annual report of the Bureau of American Ethnology to the secretary of the Smithsonian Institution.,1928,232,5,extinct,,,language,Later the Stum'x became extinct and Thompson alone was spoken.,-0.25,-0.2,0.9921430349349976,Neutral,Neutral,NEGATIVE
