,volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = yes,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,v_sent_score,tb_sent_score,ht_sent_score,v_sent,tb_sent,ht_sent
0,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,12,8,Frontier,,letter,,"The negotiation was both tedious and troublesome, and for a long time had an unpromising aspect, but it came at last to as favorable an issue as could have been expected; and I trust will be attended with consequences friendly to the frontier parts of the United States.",0.9473,-0.05500000000000001,0.9870081543922424,Positive,Neutral,POSITIVE
1,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,12,9,Frontier,,letter,VA,"There are, however, several nations on the Wabash, and the rivers which empty themselves into it, that are ill disposed, and from whom there is reason to expect, that a part of the frontier of Virginia, and the settlement forming on the Miami, will meet annoyance; indeed, that they have not been disturbed during the winter was not expected, either by me or the chiefs of the nations, who met me at fort Harmar.",-0.5742,-0.13749999999999998,0.9956229329109192,Negative,Neutral,NEGATIVE
2,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,11,Frontier,,letter,,"But the disputes which exist between some of the United States, and several powerful tribes of Indians within the limits of the Union; and the hostilities which have, in several instances, been committed on the frontiers, seem to require the immediate interposition of the General Government.",0.5023,0.0875,0.8469176888465881,Positive,Neutral,NEGATIVE
3,coo.31924095719567,Indian gaming.,2006,208,11,Frontier,1.0,,,Rocket Reels Propel your players to the next frontier of gaming!,0.0,0.0,0.9993767142295837,Neutral,Neutral,POSITIVE
4,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,15,Frontier,,letter,,"How far such a measure, unassisted by posts, would be competent to the establishment and preservation of peace and tranquillity on the frontiers, is, also, a matter which merits your serious consideration.",0.8779,0.06666666666666667,0.9914538860321045,Positive,Neutral,POSITIVE
5,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,32,Frontier,,letter,,"Number 2, which will be submitted shortly, will shew the situation of the Southern Indians, and contain some observations on the difficulties subsisting between them and the frontier people of the States of Georgia and North Carolina.",-0.2263,0.0,0.9972596168518066,Neutral,Neutral,POSITIVE
6,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,38,Frontier,,letter,,"By information from Brigadier General Harmar, the commanding officer of the troops on the frontiers, it appears that several murders have been lately committed on the inhabitants, by small parties of Indians, probably from the Wabash country.",-0.0516,-0.125,0.9879656434059143,Neutral,Neutral,NEGATIVE
7,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,23,33,Frontier,,letter,,"The white people on the frontier continuing their encroachments; they pursue their surveys into the Indian country, and destroy the game there.",-0.5423,-0.20000000000000004,0.9986109733581543,Negative,Neutral,NEGATIVE
8,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,26,27,Frontier,,letter,,"It was but a little while, however, before several murders were committed on our frontier, and which have been repeated, from time to time, until mutual hostilities have at length taken place on the whole length of our borders and a war, by the savages, is now raging with all its horrors.",-0.9843,0.00416666666666667,0.9376111030578613,Negative,Neutral,NEGATIVE
9,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,27,1,Frontier,,letter,GA,"The Secretary of the United States for the Department of War, in obedience to the order of Congress of the 15th instant to report a plan for the protection of the frontier of Georgia, agreeably to the principle of the resolve of Congress of the 21st of July, 1787, reports: That he conceives it is intended the protection to be afforded the State of Georgia, should be complete, in case the Creek Indians should persist in refusing to enter into a treaty on reasonable terms, and to comprehend all :) operations offensive, as well as defensive, that may be deemed necessary for the full accomplishment of the object.",0.3818,0.16428571428571428,0.5462217330932617,Positive,Neutral,NEGATIVE
10,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,27,7,Frontier,,letter,GA,"That the case is widely different on the frontiers of Georgia, no troops of the United States being there, nor is it easily practicable to remove any considerable body from the Ohio, were the measure expedient in other respects.",0.2177,0.10208333333333333,0.9835175275802612,Neutral,Neutral,NEGATIVE
11,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,27,8,Frontier,,letter,GA,"That this difference of circumstances will require a different and more extensive arrangement for the protection of the frontier of Georgia than any that were contemplated by the aforesaid resolve of the 21st of July, 1787.",0.3818,0.125,0.9819208979606628,Positive,Neutral,NEGATIVE
12,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,27,9,Frontier,,letter,GA,"That the frontier of Georgia may be protected either by a large body of militia, detached from time to time, or by a corps of troops regularly organized and enlisted for a certain period.",0.5423,0.14285714285714285,0.9337098598480225,Positive,Neutral,NEGATIVE
13,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,28,5,Frontier,,letter,,"You will use the utmost care to ascertain who are the leading men among the several tribes the real head-men and warriors; these you will spare no pains to attach to the interest of the United States, by removing, as far as may be, all causes of future contention or quarrels; by kind treatment, and assurances of protection; by presents of a permanent nature; and by using every endeavor to conciliate the affections of the white people inhabiting the frontiers towards them.",0.9619,0.15,0.9798964262008667,Positive,Neutral,POSITIVE
14,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,28,29,Frontier,,letter,,"I yesterday laid all the papers relatingto this business before the Council of State, for their consideration, who concurred with me in opinion that the powers of the Executive department of this State did not extend so far as to comprehend all the objects contained in the instructions sent forward by Congress, for the government of the commissioner to be appointed by this State, and though the resolution of Congress, passed as early as the 26th of October, no hostilities have hitherto been committed on the inhabitants of this State by the Cherokees, nor have we any intimation from the inhabitants of the frontier that any such hostilities are at present apprehended.",0.0093,0.05,0.9813874959945679,Neutral,Neutral,NEGATIVE
15,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,35,34,Frontier,,letter,,"Did you not, last summer, kill six of our peaceable frontier inhabitants?",0.7534,0.0,0.9922722578048706,Positive,Neutral,NEGATIVE
16,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,35,52,Frontier,,letter,,"That it is of great importance that the favorable dispositions of the said Creeek nation should be embraced immediately, in order to terminate, by an equitable peace, the disturbances and hostilities which have for some years past existed on the Southern frontiers.",0.8271,0.18333333333333335,0.9976943135261536,Positive,Neutral,POSITIVE
17,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,40,15,Frontier,,letter,,"Their hunting grounds extend from Cumberland river along the frontiers of Virginia, North and South Carolina, and part of Georgia.",0.1779,0.0,0.9898938536643982,Neutral,Neutral,POSITIVE
18,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,40,16,Frontier,,letter,,"The frequent wars they have had with the frontier people of the said States, have greatly diminished their numbers.",-0.5574,0.45,0.9994128942489624,Negative,Positive,NEGATIVE
19,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,40,20,Frontier,,letter,,"By a variety of evidence which has been submitted to the late Congress, it has been proved that the said treaty has been entirely disregarded by the white people inhabiting the frontiers, styling themselves the State of Franklin.",-0.4391,-0.09999999999999999,0.990968644618988,Negative,Neutral,NEGATIVE
20,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,47,2,Frontier,,letter,NC,"SIR: I do myself the honor of writing you the different occurrences respecting the people on the frontiers of North Carolina, and the Cherokee Indians, transpired since my last.",0.7506,0.0,0.9991859793663025,Positive,Neutral,POSITIVE
21,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,47,4,Frontier,,letter,,"Not receiving an immediate answer from him, and having reason to believe these depredations continued, I sent a copy of the enclosed, addressed to the officers commanding on the frontiers of that State, which I hope will be attended with every good consequence.",0.7003,0.7,0.9825119972229004,Positive,Positive,NEGATIVE
22,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,47,27,Frontier,,letter,,"I had given orders for a process to issue to apprehend Sevier, and had directed the commanding officer on the frontier to pursue a line of conduct similar to that pointed out in your letter.",0.0,0.0,0.9501595497131348,Neutral,Neutral,POSITIVE
