volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = no,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,before_sentence,after_sentence
hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,20,46,extinct,,,race,"Manahoaks, formerly a great nation of Virginia, some time since extinct.","Leech Rider Indians, near Sandy Lake ; about 350. Lenape, or Lenelenape, former name of the Delawares, which see. Lukawisses, on the coast of the Pacific ocean, about 800. Luktons, to the south-west of the Killamuks, on the coast of the Pacific. Mandans, 1612 miles up the Missouri, on both sides; about 1200.","Manahoaks, formerly a great nation of Virginia, some time since extinct. Marshpees, chiefly a mixed remnant of the noble Wampanoags, in Sandwich, Masb.; about 400 ; lately conspicuous in asserting their dormant rights, under the direc tion of the efficient Mr. WILLIAM APEss, of Pequot descent. Massawomes, formerly a very warlike nation in what is now Kentucky."
hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,21,21,extinct,,,race,"Nipmuks, interior of Massachusetts ; 1500 in 1675; long since extinct.","Narraganscts, once a powerful nation about the south of the bay of that name. Natchez, discovered in 1701 ; chiefly destroyed in 1720; 150 in 1764. Niantiks, a tribe of the Narragansets, and were in alliance with them. Nicariagas, once about Michilimakinak; joined Iroquois in 1723. Vipissins, near the source of the Ottoway River ; about 400 in 1764.","Nipmuks, interior of Massachusetts ; 1500 in 1675; long since extinct. Nottovais, on Nottoway River, in Virginia ; but two of clear blood in 1817. Oakmulges, to the east of Flint River; about 200 in 1834. Ojibuas, or Chippewas, about 30,000, on the great lakes. Omahas, on Elkhorn River, 80 miles from Council Bluffs ; about 2200."
hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,22,13,extinct,,,race,"Sokokies, anciently upon Saco River ; now extinct.","Shoshonese, or Snakes, driven into the Rocky Mountains by the Blackfeet. Siour, on St. Peters, Mississippi and Missouri; numerous ; 33,000. Skilloots, on the Columbia, from Sturgeon Island upward ; about 2500. Snake Indians, or Shoshones; borders Rocky Mountains, about 8000. Smokshops, on Columbia River, at mouth of Labiche; 800, in 24 clans.","Sokokies, anciently upon Saco River ; now extinct. Sokulks, on Columbia, above Lewis's River ; about 2400, in 120 lodges. Souties, the name by which some know the Ottowas, which see. Soyennoms, on east fork Lewis's River; about 400, in 33 villages. Staitans, a name by which the Kites are known, which see."
nyp.33433081818449,"Journal of the exploring tour beyond the Rocky Mountains, under the direction of the American Board of Commissions for Foreign Missions, in the years 1835, '36, and '37; containing a description of the geography, geology, climate, productions of the country, and the number, manners, and customs of the natives: with a map of Oregon Territory.",1840,157,10,extinct,,,race,"It was upon this island the Multnomah Indians formerly resided, but they have become as a tribe, extinct.","Five miles below the fort, we passed the main branch of the Mult. nomah. It is a large river, coming from the south, and is divided by islands into four branches, at its confluence with the Columbia. Here commences the Wâppatoo island, so called from a nutritive root found in the small lakes in the interior, which is much sought for by Indians as an article of food. This island is about eighteen miles long, and five miles wide, formed by a part of the Multnomah, branching off about six miles up the main river, running in a westerly and north-westerly direction, and again uniting with the Columbia eighteen miles below the main branch. The branch which flows around and forms the island, is about fifteen rods wide, and of sufficient depth for small shipping most of the year.","It was upon this island the Multnomah Indians formerly resided, but they have become as a tribe, extinct. The land is very fertile, and most of it sufficiently high to be free from injury by the June freshet. Some parts of it are prairie, but the greatest part is well wooded with oak, ash, balsam fir, and the species of poplar often called balm of Gilead, and by most travelers, cotton-wood. At the south-west of this island, there is a range of mountains which render a space of country broken, but beyond these, it is said by hunters, that there is an extensive valley well adapted to agriculture. We arrived at the landing place of the May Dacre, at five o'clock in the afternoon, and were politely received on"
nyp.33433081818449,"Journal of the exploring tour beyond the Rocky Mountains, under the direction of the American Board of Commissions for Foreign Missions, in the years 1835, '36, and '37; containing a description of the geography, geology, climate, productions of the country, and the number, manners, and customs of the natives: with a map of Oregon Territory.",1840,218,10,extinct,,,race,"And if they should continue to diminish for twenty years to come, as they have during the last twenty, they will become almost extinct.","This is said with. out reason, for I saw them as frequently in those districts, in proportion to their extent, as where other formations existed. It is also said that as they recede from the east they are extending west. This is also incorrect; for, as I have before said, their limits are becoming more and more cir. cumscribed.","And if they should continue to diminish for twenty years to come, as they have during the last twenty, they will become almost extinct."
uiug.30112076560074,"Journal of a tour in the ""Indian territory,"" : performed by order of the Domestic Committee of the Board of Missions of the Protestant Episcopal Church, in the spring of 1844, by their secretary and general agent.",1844,26,11,extinct,,,race,"The Seminoles have no annuities however, and unless Government takes pity on their destitution, and having removed them here, does all it can for them, they must soon become extinct.","Could not a requisition have been made upon the troops to remove them there ! It is perfect folly for the Government to have designated the boundaries of Indian tribes in such close contact with each other, unless it compels respect to them. The Seminoles complain of the Creeks, and of the Government for not keeping its pledges to them—the Cherokees of the Seminoles, &c. &c.; and yet, a little firmness, (which is true humanity) on the part of those who are solemnly bound to carry out the plans and purposes of Government, would remove these causes of irritation, which may lead to serious misunderstanding. The Seminoles, who have settled in the Canadian Fork, raise corn and rice; have 1000 blacks among them, slaves for the most part, who pay a small tribute to their master, say 2 or 3 bushels of corn, or, when they raise stock, a beef or two. John Bemo,” and the old man to whom Micanopy alluded, are endeavouring to raise a school, &c.","The Seminoles have no annuities however, and unless Government takes pity on their destitution, and having removed them here, does all it can for them, they must soon become extinct. Near the camp was a slough, 3 or 4 feet deep. The children of the band were indulging in all the luxury of paddling about in this mud-hole, as they soon made it, taking an early lesson upon making themselves at home in this element. It was quite amusing to witness their various feats. With children so trained, letters must be presented here a little, there a little."
uiug.30112076560074,"Journal of a tour in the ""Indian territory,"" : performed by order of the Domestic Committee of the Board of Missions of the Protestant Episcopal Church, in the spring of 1844, by their secretary and general agent.",1844,66,4,extinct,,,language,"That language is now almost extinct, being known only to less than a hundred persons, who linger on the banks of a branch of the Santee.","54 Chowan, the Meherrin, the Nottoway, villages of the Wyandot family, have left their names to the rivers along which they dwelt; and the Tuscaroras, kindred with the Five Nations, were the most powerful tribe in North Carolina. In 1708, its fifteen towns still occupied the upper country on the Neuse and Tar, and could count twelve hundred warriors as brave as their Mohawk brothers. IV.-South of the Tuscaroras, the midlands of Carolina sheltered the CATAWBAs. Its villages included the Woccons, and the nation spoke a language of its own.","That language is now almost extinct, being known only to less than a hundred persons, who linger on the banks of a branch of the Santee. Imagination never assigned to the Catawbas, in their proudest days, more than twelve hundred and fifty warriors, the oldest enumeration was made in 1743, and gives but four hundred. It may therefore be inferred that on the first appearance of Europeans their language was in the keeping of not more than three thousand souls. History knows them chiefly as the hereditary foes of the Iroquois Tribes, before whose prowess and numbers they dwindled away. V.—The mountaineers of aboriginal America, were the CHERoKEEs, who occupied the upper valley of the Tennessee River, as far west as Muscle Shoals, and the highlands of Georgia, Carolina, and Alabama—the most picturesque and most salubrious region east of the Mississippi."
uiug.30112076560074,"Journal of a tour in the ""Indian territory,"" : performed by order of the Domestic Committee of the Board of Missions of the Protestant Episcopal Church, in the spring of 1844, by their secretary and general agent.",1844,85,8,extinct,,,race,"Their progenitors, the Missourias, were, when the Flench first knew the country, the most numerous tribe in the vicinity of St. Louis; and the great stream, on whose banks they reside, and the State which has risen upon their hunting grounds, when the race is extinct, will bear their names to the generations of coming time.","No Indians reside on this tract. The condition of this people is similar to that of the Osages and Kanzas. The United States' Government has fenced and ploughed for them 130 acres of land. In 1838, they cultivated 300 acres of corn. They own six ploughs, furnished by Government.","Their progenitors, the Missourias, were, when the Flench first knew the country, the most numerous tribe in the vicinity of St. Louis; and the great stream, on whose banks they reside, and the State which has risen upon their hunting grounds, when the race is extinct, will bear their names to the generations of coming time. They are said to have been an energetic and thrifty race before they were visited by the small pox and the destroying vengeance of the Sacs and Foxes. The Osages consider them their inferiors, and treat them, oftentimes, with great indignity. With the materials now before the reader, he can draw his own inferences of the probable result of an experiment to elevate a portion of our red brethren from the manifold evils of their lot. We fear the difficulties connected with this question have not been sufficiently appreciated."
hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,53,2,extinct,,1,animal,"They were, for some time, by many supposed to have been the bones of that animal; but they are pretty generally now believed to have belonged to a species of animal long since extinct.","EXPLOIT OF HANNAH DUSTON. 29 early maps of the country of the Ohio, we see marked, “Elephants' bones said to be found here.""","They were, for some time, by many supposed to have been the bones of that animal; but they are pretty generally now believed to have belonged to a species of animal long since extinct. They have been found in various parts of the country; but in the greatest abundance about the salt licks or springs in Kentucky and Ohio. There has never been an entire skeleton found, although the one in Peale's museum, in Philadelphia, was so near perfect, that, by a little ingenuity in supplying its defects with wood. work, it passes extremely well for such."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,122,9,extinct,,1,animal,"Many diell of hunger, some were buried deep in snow drifts, and for a time it was feared that almost all animal life would become extinct.","(During the present month of August, 1881, for a number of days the mercury in the agent's oftice bas stood at 1000, 101°, and 1020.) During the “frozen time"" the sun rose, shone, and set upon a world of white; varied at times by furious winds, violent storms, blinding snows, filling the air, and making travel dangerous to human life. Wood chopping, ice cutting, hauling logs to saw-mills, preparing food for domestic animals, when the weather would admit, were all carried on with as much system as practicable. The usual winter pasturage finally became so deeply buried that subsistence from that source for the cattle was no longer to be had. Stores of forage ran low, and then began the fight of the domestic cattle and ponies with cold and starvation, and hunger became the normal condition of nearly all the domestic animals upon the agency.","Many diell of hunger, some were buried deep in snow drifts, and for a time it was feared that almost all animal life would become extinct. The breaking up of the Missouri, fortunately for us, had but few inconveniences, and no positive dangers. As the most of the houses are located far beyond the reach of the river in its highest stages, but small damage was sustained. With the advent of spring and the disappearance of the snow and ice, new duties came, and all were in' vigorated and inspired with new hopes and new aspirations; the winter liad gone, the land was to be prepared for crops, and nearly all had something to look forward to, to redeem the losses of the past. Hitherto nothing has been said descriptive of the inhabitants of this agency; a paragraph may be devoted profitably to THE INDIANS OF LOWER BRULÉ AGENCY."
