volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = yes,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,before_sentence,after_sentence
uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,632,3,Pioneer,,,,"“In the year 1684, La Salle, the pioneer in 1684, those western discoveries, sailedº from France with four º, vessels and two hundred and eighty persons, with the jº design of establishing a colony at the mouth of the Misºf sissippi.","ANalysis tury and a half elapsed before a single Spanish post was erected within the limits of the present Texas, and in the tardy progress of Spanish colonization originated the pretensions of France to the Rio Grande, as the southwestern frontier of Louisiana. º, 3. The discovery by the French, and the exploration sippi of the country bordering on the Mississippi, have already been mentioned in connection with the early history of a seep sº. Louisiana.”","“In the year 1684, La Salle, the pioneer in 1684, those western discoveries, sailedº from France with four º, vessels and two hundred and eighty persons, with the jº design of establishing a colony at the mouth of the Misºf sissippi. Deceived, however, in his reckoning, La Salle failed to reach the place of his destination, and sailin unconsciously southward, he landed on the 18th of Feb1685. ruary, 1685, at the head of Matagorda Bay,’ within the **** limits of the present Texas. ºf 4. ‘Here he built and garrisoned a small fort, and took  a fort."
hvd.32044010452878,The Southern workman.,1916,13,2,Pioneer,1,,,"Dr. Samuel Chiles Mitchell, president of Delaware College and an able pioneer in campaigning for better public schools throughout the South, said: “What war and politics failed to do constructively for the South, love, sympathy, coöperation, and business ability applied to economic and social problems helped wonderfully to accomplish.","VOCATIONAL TRAINING FOR INDIANS spaces. Mr. Ogden looked beyond the strife and failure of the present to the new world wherein dwelleth righteousness; but he believed that the unseen spirit who was beckoning him forward into the future was his companion in the tasks of every day, and as he worked his face shone as one who walked with God.”","Dr. Samuel Chiles Mitchell, president of Delaware College and an able pioneer in campaigning for better public schools throughout the South, said: “What war and politics failed to do constructively for the South, love, sympathy, coöperation, and business ability applied to economic and social problems helped wonderfully to accomplish. Robert Curtis Ogden recognized and capitalized the faith and initiative of the Southern people.”. The Ogden memorial meeting in Richmond made possible the carrying of Mr. Ogden's principal ideas-mutual understanding, good will, organization of rural community life, education as a solvent of economic and social problems-to hundreds of the leading teachers and school officials of Virginia. In proportion as those in positions of influence and power, in Virginia, for example, thoroughly understand the meaning and importance of organization, coöperation, the dignity of labor, and economic problems, there will come new life and greater power for good among the masses. Mr. Ogden worked with the leaders for the good of all the people."
hvd.32044010452878,The Southern workman.,1916,44,22,Pioneer,1,,,"But Dr. Washington had to do pioneer work with it in the lower South, and finally he became its chief apostle to the nation.","But all this was not accomplished in a day or a year. It took many years of the hardest work and consummate leadership to bring it to pass. A new idea of education had first to be established in the minds of men. To educate men in the schools for such service as Dr. Washington suggested was not only foreign to existing educational ideals in the South but to the established practice of schools nearly everywhere. This new idea had made some headway in Virginia, where it originated with General Armstrong at Hampton Institute.","But Dr. Washington had to do pioneer work with it in the lower South, and finally he became its chief apostle to the nation. During these years torrents of opposition to his educational ideals poured in upon Dr. Washington Dr. Washington from well-educated,"
hvd.32044010452878,The Southern workman.,1916,80,9,Pioneer,?,,,"He soon came in touch with John B. Pierce, who was then a farm-demonstration agent-a veritable pioneer-a man who helped Robert Jones discover for himself hidden powers.","The country usually makes the Negro, while the city often breaks him. Robert Jones came to Blackstone in Nottoway County, Virginia, nine years ago. His life in Boston had broken him in health. He had just enough money to buy a run-down farm which had found its way to the delinquent tax list. He found, not a house, but a log cabin for his family.","He soon came in touch with John B. Pierce, who was then a farm-demonstration agent-a veritable pioneer-a man who helped Robert Jones discover for himself hidden powers. A few years ago, when Robert Jones saw that his tobacco crop was in danger on account of the unpromising weather, he plowed and plowed by lantern: light to meet the season when it should come. Today this Virginia farmer owns a nine-room house, has a tiled and cemented well, ten outbuildings, eighty acres of good farming land-a property outfit which is worth at least five thousand dollars. The call of ""back-to-the farm” fell on unstopped ears. Jeff Carter of Nottoway County, Virginia, makes a specialty of growing first-class seed corn."
hvd.32044010452878,The Southern workman.,1916,97,2,Pioneer,?,,,"Further, they have pointed out to hundreds of students and social workers, not only the vast field of opportunity which the South offers for pioneer work, but also the working methods which have brought satisfactory results in social service.","“JOURNAL OF NEGRO HISTORY” 79 progressive, and sympathetic students of social problems. These reports have also contained working programs and suggestions for better organization in social work, which must mean much for the South and for the country at large.","Further, they have pointed out to hundreds of students and social workers, not only the vast field of opportunity which the South offers for pioneer work, but also the working methods which have brought satisfactory results in social service. The “challenge” of the Southern Sociological Congress is indeed a challenge to the thinking men and women of the whole South, regardless of race or creed. It is worth careful reading. It is a challenge "" To Southern fathers and mothers and all social workers to lift the burdens of labor from childhood and to make education universal; “To the men who make and administer laws to organize society as a school for the development of all her citizens, rather than simply as a master to dispose of the dependent, defective, and delinquent population with the least expense to the State; ""To all citizens to rally to the leaders of social reforms, so as to secure for the South civic righteousness, temperance, and health; “To Southern chivalry to see that justice is guaranteed to all citizens regardless of race, color, or religion, and especially to befriend and defend the friendless and helpless; “To the Church to prove her right to social mastery by a universal and unselfish social ministry; “To the present generation to show its gratitude for the heritage bequeathed to it through the toil and blood of centuries by devoting itself more earnestly to the task of making the nation a universal brotherhood; “To strong young men and women to volunteer for a crusade of social service, and to be enlisted for heroic warfare against all destroyers of public health and purity, and to champion all that makes for an ideal national life.” A new periodical, to be published quarterly, is the “Journal of Negro journal of ""The Association for the Study of History” Negro Life and History,"" a society organized in Chicago in September, 1915."
uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,641,3,Pioneer,,,,"The leading pioneer in Texan colonization was }: Stephen F. Austin, whose father, Moses Austin, a native º: of Durham in Connecticut, visited Bexar as early as 1820, and early in the following year obtained from the govern1821."," States, began to flow into Texas, the most fertile of the 1820. Mexican provinces. 2.","The leading pioneer in Texan colonization was }: Stephen F. Austin, whose father, Moses Austin, a native º: of Durham in Connecticut, visited Bexar as early as 1820, and early in the following year obtained from the govern1821. ment permission to plant a colony in Texas. ""As Moses a Tººna. Austin died soon after the success of his application had tº been communicated to him, his son Stephen, in obedience to his father's last injunction, prosecuted the enterprise with vigor, and proceeding immediately to Texas, selected a site for a colony between the Brazos and the Colorado.” Such was the enterprise of Austin, that although he was obliged to return to the United States for emigrants, before the close of the year the hum of industry in the new settlement broke the silence of the wilderness."
hvd.32044010452878,The Southern workman.,1916,184,5,Pioneer,1,,,"The white farmers were always too busy with their own work to assist him ; indeed, in some years  A PIONEER HOME"," A DEARFIELD BARN We are proud to know that we are being recognized and that our efforts toward genuine self-help are being realized."" For fifteen years prior to 1908 Mr. Jackson operated a farm near Boulder, Colorado. He was the only colored farmer in a district comprising about ten square miles. The white settlers were very prosperous farmers and the best of feeling existed between them and this one lone toiler of another race. He was successful, but he found difficulty in securing help in harvesting and marketing his crops.","The white farmers were always too busy with their own work to assist him ; indeed, in some years  A PIONEER HOME"
uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,115,1,Pioneer,,,,"In the foreground is a Buffalo, once anative animal of the State, apparently startled by the axe of the Woodman or Pioneer, who is seen on the left, felling the trees of the forest—denoting the advance of civilization westward.","105 : INDIANA-On the Seal of Indiana is represented a scene of prairie and woodland, with the surface gently undulating—descriptive of the natural scenery of the State.","In the foreground is a Buffalo, once anative animal of the State, apparently startled by the axe of the Woodman or Pioneer, who is seen on the left, felling the trees of the forest—denoting the advance of civilization westward. In the distance, on the right, is seen the sun just appearing on the verge of the horizon. Around the upper portion of the seal are the words, lxplana State SEAL. º ILLINOIS.–In the centre of the Seal of Illinois is re presented the American Eagle, grasping in its left talon a bundle of three arrows, and in the right an olive branch, and bearing on its breast a shield orescutcheon, the lower iſ half of which is represented of a red color, and the upper half blue, the latter bearing three whive or silvery stars. From the beak of the Eagle extends a label bearing the motto, “State Sovereignty; National Union.”"
hvd.32044010452878,The Southern workman.,1916,234,12,Pioneer,1,,,"A pioneer in the adventure of brotherly love, he had invited us to be his companions in the further exploration of the possibilities of national sympathy.","We had come to respect one another, and, respecting, to forgive. But there remained a certain haunting sense of wonder at what had happened, a certain barrier of ignorance barring the way to that complete understanding of which perfect sympathy is born. That barrier, for some of us at least, Judge Lamar removed that day. He opened to our hearts the heart of the South; he made us realize what some of us had already begun dimly to suspect, that in these plain men in grey, unknown to us by name, fighters against the cause we held most dear, we of the Northland shared with you of the South one of the imperishable glories of our common country. It was to Mr. Ogden that we owed that never-to-be-forgotten experience.","A pioneer in the adventure of brotherly love, he had invited us to be his companions in the further exploration of the possibilities of national sympathy. It was because you of the South had learned to know and trust and love him that you were * Address delivered at the Memorial Meeting for Robert Curtis Ogden in Richmond, Virginia, November 26, 1915"
chi.088054025,"The war-path : a narrative of adventures in the wilderness: with minute details of the captivity of sundry persons; amusing and perilous incidents during their abode in the wild woods; fearful battles with the Indians; ceremony of adoption into an Indian family; encounters with wild beasts and rattlesnakes, &c. /",1856,256,13,Pioneer,,,,the pioneer exclaimed; “and if that gives out you must roll upon the fire and smother it with your hands.,"Boone long remained silent. His great error—indeed the only error he had committed in the location of his fort— was now painfully apparent. The spring was some distance above, and in possession of the enemy! The stock of water, as Paddy said, was exhausted ! “Fill your buckets with the damp earth!”","the pioneer exclaimed; “and if that gives out you must roll upon the fire and smother it with your hands. If one cabin burns, all must go, and every one of us will be scalped !” Paddy rushed back to his post, pale and desperate. He thought it better to be shot than burned; but he kept as much as possible in the lee of the apex of the roofs. So far, only two of the garrison had fallen; but the enemy suffered severely, and the death-halloo was heard continually, as Boone, or Kenton, or McSwine, fired “at the flash,”—an achievement hitherto unattained by the In-"
hvd.32044081396079,"The American numismatical manual of the currency or money of the aborigines, and colonial, state, and United States coins. With historical and descriptive notices of each coin or series.",1859,93,24,Pioneer,,,,"These were the pioneer coins of the Massachusetts Mint, and, undoubtedly, of the American portion of the North American continent.","(Size 9.) NEW ENGLAND SIxPENCE. Differing from the shilling only in size, and the numerals VI. (Size 5. See Plate VI., Figures 3 and 4.)","These were the pioneer coins of the Massachusetts Mint, and, undoubtedly, of the American portion of the North American continent. In the portion of this work allotted to the “Massachusetts Currency,” they have been fully and particularly noticed, and we may add, they are entitled, among American numismatologists, to very marked distinction. As the fac-similes represent them, they were irregularly circular, but coined of good sterling silver. There was but one type and three varieties of these coins. It is very difficult to find them unmutilated or not clipped."
hvd.32044081396079,"The American numismatical manual of the currency or money of the aborigines, and colonial, state, and United States coins. With historical and descriptive notices of each coin or series.",1859,225,20,Pioneer,,,,"We look upon it with somewhat of a feeling of reverence, it being the pioneer of that description of currency in our country, and characterized by an appearance that partakes much of the times when our forefathers had the same quaint resemblance, but not the less allied to those solid and substantial qualities so essential in laying the foundations of a government, which for enlightened and perfect workmanship, has ever since been the model and admiration of the thinking portion of the human family.","1803. 1803. 1803. 1804. This was the last of the emission of the old-fashioned Eagle, whose diameter is so remarkable, contrasted with the same denomination since coined at our Mint.","We look upon it with somewhat of a feeling of reverence, it being the pioneer of that description of currency in our country, and characterized by an appearance that partakes much of the times when our forefathers had the same quaint resemblance, but not the less allied to those solid and substantial qualities so essential in laying the foundations of a government, which for enlightened and perfect workmanship, has ever since been the model and admiration of the thinking portion of the human family. HALF-EAGLE. The designs the same as the preceding of this denomination, with one type and three varieties, and the number of pieces coined was 30,475. They are not plenty, but on the contrary show indications of scarcity. 1804."
hvd.32044010452878,The Southern workman.,1916,260,33,Pioneer,?,,,"With his nephew, also an ordained minister of the Methodist Episcopal Church, and a lay associate, he became the pioneer worker in the country west of the Rocky","All we want is the men. Who will go? Bright will be his crown, glorious his reward.” The Rev. Jason Lee, a young minister, the son of a Canadian pioneer, was chosen for the task. He was thirty-two years of age, hardy and experienced in lumber-camp work, and six feet three inches in height.","With his nephew, also an ordained minister of the Methodist Episcopal Church, and a lay associate, he became the pioneer worker in the country west of the Rocky"
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,177,21,Pioneer,,,,"It is not the demands of an increasing population, nor the iron hand of the hardy pioneer of the West alone, that is calling on the Indians to give up a part of their fertile country, but it is the universal belief of their friends that the sooner they are surrounded by industry, and their large reservations reduced, just that much nearer will they be to civilization.","All of the tribes indulge in the luxury of one or more chiefs and a council, but, with the exception of the Senecas, the offices are purely honorary. A majority of these Indians are from old tribes who have been civilized for years, and all may be described in a general way as civilized, and, if not rapidly advancing, still not retrogarding. They are not diminishing but increasing in pumbers, and if advanced civilization is crowded upon them, or even the rights given them that they demand, they will continue to improve. Many of them are clamoring for an allotment of their lands, two of the tribes having spent $3,000, in the past two winters, in trying to get a bill through Congress, which should never have been delayed a day longer than was necessary for its passage. They realize that they cannot thrive, as they would wish, so long as they hold their lands in common, and I say, give each family a homesteadmake it inalienable for twenty-five years; make them citizens; and you will see the beginning of the end.","It is not the demands of an increasing population, nor the iron hand of the hardy pioneer of the West alone, that is calling on the Indians to give up a part of their fertile country, but it is the universal belief of their friends that the sooner they are surrounded by industry, and their large reservations reduced, just that much nearer will they be to civilization. QUAPAWS. The Quapaws number 250, and their reservation contains 56,685 acres, but is only occupied by 49 people; the balance are with the Osages. These Indians do not take kindly to agricultural work, but certain it is that instruction in this branch is most urgently needed, and it is equally certain that they were never offered a better opportunity, so far as land is concerned, to show that they can acquire a thorough and most valnable education in this particular branch which they are best fitted for. If these Indians suceeed in arresting the covetous disposition of the border settlers, they must apply the plowshare in developing the vast resources of the thousands of acres of the richest soil on earth."
uva.x002243474,"The Jesuit relations and allied documents; travels and explorations of the Jesuit missionaries in New France, 1610-1791; the original French, Latin, and Italian texts, with English translations and notes.",1901,15,8,Pioneer,,,,"Hubert, and the condition of that pioneer family is described.","Le Jeune gives his impressions of the country, and of the natives. He describes the tortures inflicted by some of them, upon three Iroquois captives. Schools should be established for the youth, if the adults are to be properly influenced. Mosquitoes greatly torment the missionaries. The circumstances are related of the landing of De Caen's party at Quebec, which is found in ruins; mass is celebrated in the house of Mme.","Hubert, and the condition of that pioneer family is described. Quebec being surrendered to De Caen by the English garrison, the Jesuits return to their old habitation on the St. Charles, only the walls of which have withstood the shock of war. Le Jeune then reverts, in his story, to the condition of the savages, telling of their simplicity and their entire confidence in the missionaries. The Jesuits baptize an Iroquois lad, and a native child has been"
hvd.32044010452878,The Southern workman.,1916,501,3,Pioneer,1,,,"In these pioneer days of the Industrial Home School, its success depended on the ability, tact, character, and devotion of these three people and they were not found wanting.","467 about the farm. It is planned to make the mill, as soon as possible, a more decided asset to the school. Mr. and Mrs. H. J. Griffith, both trained at Hampton Institute, were secured as farmer and matron, acting under the general supervision of Superintendent Thomas J. Edwards, of the boys' reformatory at Broadneck Farm in the same county, who is also a Hampton graduate.","In these pioneer days of the Industrial Home School, its success depended on the ability, tact, character, and devotion of these three people and they were not found wanting. As Mrs. Barrett says in her first annual report, “It would be impossible to say too much in praise of Mrs. Griffith's management of these girls. The secret of it all is that she really cares for them. Love wins love, they are devoted to her.” A  THE OLD MILL IS ""MIGHTY PUNISHIN' "" IN WINTER."
hvd.32044010452878,The Southern workman.,1916,505,3,Pioneer,?,,,"The building, erected by a Hampton contractor, Mr. R. V. Richardson, and costing $9769.00, is to be known as “ Federation Cottage,” this name having been given it by the unanimous vote of the trustees in recognition of the splendid pioneer work done by the State Federation of Colored Women's Clubs.","471 o'clock train stopped at Peake, a very unusual occurrence. This accommodated visitors to the dedication who could not otherwise have reached the place. Conveyances loaned by neighbors and friends ran from the station, two miles and a half away, and apparently all the mules, horses, carriages, and wagons in Hanover and adjacent counties, in addition to a score of automobiles, were parked before the house.","The building, erected by a Hampton contractor, Mr. R. V. Richardson, and costing $9769.00, is to be known as “ Federation Cottage,” this name having been given it by the unanimous vote of the trustees in recognition of the splendid pioneer work done by the State Federation of Colored Women's Clubs. It is of brick, with three stories finished in the natural wood and a basement with cement floor, and has all the modern conveniences except electric light. The plans were drawn free of charge by Mr. John Sugden, superintendent of construction at Hampton Institute, who supervised the work on the house. A fine spring having been discovered in a ravine, five hundred feet from the house, the trustees authorized the building of a 2000-gallon concrete reservoir with a concrete cover. Near the spring a concrete pumphouse has been built and a gasoline engine and pump installed for pumping the spring water into a 20,000-gallon tank, placed on a tower sixty feet high."
uva.x030759059,Oregon trail.,1902,19,4,Pioneer,,,,"Finding her wholly uncontrollable, we exchanged her for another, with which we were furnished by our friend Mr. Boone of Westport, a grandson of Daniel Boone, the pioneer.","13 Accordingly, our preparation being now complete, we attempted one fine morning to commence our journey. The first step was an unfortunate one. No sooner were our ani. mals put in harness, than the shaft mule reared and plunged, burst ropes and straps, and nearly flung the cart into the Missouri.","Finding her wholly uncontrollable, we exchanged her for another, with which we were furnished by our friend Mr. Boone of Westport, a grandson of Daniel Boone, the pioneer. This foretaste of prairie experience was very soon followed by another. Westport was scarcely out of sight, when we encountered a deep muddy gully, of a species that afterward became but too familiar to us; and here for the space of an hour or more the cart stuck fast. CHAPTER II. BREAKING THE ICE."
hvd.32044010452878,The Southern workman.,1916,107,2,Pioneer,,,south africa,"The work of this institution is carried on under the auspices of the American Board, whose pioneer missionaries landed in Natal in 1835, nearly eight years prior to the annexation of that country by the British."," THE GIRI JARTERS AT AMANZIMTOTI INSTITUTE AMANZIMTOTI INSTITUTE BY EVELYN F. CLARKE Principal of the Girls' Department AMANZIMTOTI is a name familiar to many people who have A spent but a few days or weeks in the South African province of Natal. Comparatively few, however, of the visitors who leave Durban for a day's picnic at Amanzimtoti Beach, know anything of the Institute for Zulu boys and girls which is situated about five and a half miles away, on one of the oldest mission stations in Natal.”","The work of this institution is carried on under the auspices of the American Board, whose pioneer missionaries landed in Natal in 1835, nearly eight years prior to the annexation of that country by the British. It was eleven years before the first convert (a woman) was won for Christ. Her body lies buried in the Amanzimtoti cemetery, where later that of Dr. Adams, the founder of the Mission station, was also laid. Gradually other Zulus were convinced of the truth of the gospel message. The missionaries had to undertake the work of reducing the Zulu language to writing and of translating the Bible into that language."
hvd.32044010452878,The Southern workman.,1916,190,18,Pioneer,,,,"Their advancement has been something wonderful for our people, who know nothing of pioneer life.","After several men had filed they sent their friends to me. Women claimants-widows, spinsters, deserted wives-were particularly active. We publish a little paper and mention in it all filings made, and this attracted attention. I am now receiving lots of mail and many callers, asking for homes. “The Dearfield settlers were as poor as people could be when they took up homesteads.","Their advancement has been something wonderful for our people, who know nothing of pioneer life. Some who filed on their claims had not enough money to ship their household goods and pay all their railroad fare. They paid their fare as far as they could and walked the balance of the way to Dearfield. Soon after arriving in Dearfield they secured work with the wealthy white farmers in the district and began to build houses on their claims. Some lived in tents, others in dug-outs, and some in natural caves in hillsides."
hvd.32044010452878,The Southern workman.,1916,259,13,Pioneer,,,,"As one turns the pages of this beautifully printed book and recalls the untiring energy and zeal of this pioneer of Christian missions, the lines which the author inscribed at the end of his Indian grammar have new significance, “Prayer and pains through faith in Jesus Christ will do anything.""","It is an interesting study to review some of the most notable of these remarkable achievements in the translation of the Holy Scriptures into the tongues of the native American race. The John Eliot Bible, in the language of the Mohicans, is notable on account of the great labor involved and the primacy which this Bible takes among all Indian translations. Eliot's monumental task, the translation of the whole Bible into the Mohician tongue, the common language of the New England Indians, the compiling of a grammar and other language work, were prodigious labors. The New Testament was printed in 1661, only fifty years after the publication of the King James version, and the Old Testament in 1663. This was the first Bible printed in America, and the few copies still preserved are greatly prized.","As one turns the pages of this beautifully printed book and recalls the untiring energy and zeal of this pioneer of Christian missions, the lines which the author inscribed at the end of his Indian grammar have new significance, “Prayer and pains through faith in Jesus Christ will do anything."" The annals of Christian missions contain no more romantic or graphic incident than the search for the white man's Book of Heaven by the Nez Percés of Idaho. In 1831 four Nez Percé chiefs made their way over the Rockies and were found on a street in St. Louis, asking, “Where is the white man's Book of Heaven ?"" General Clark befriended them and showed them everything of interest in the town. Two of the four fell ill and died."
hvd.32044010452878,The Southern workman.,1916,260,21,Pioneer,,,,"The apparently fruitless search of the Nez Percé chiefs resulted in the first Protestant mission west of the Rocky Mountains, the Methodist Epicopal Church being the pioneer in this pathfinding expedition.","One by one they will rise up and go out in silence. My people will die in darkness, and they will go on a long path to other hunting-grounds. No white man will go with them, and no white man's Book to make the way plain. I have no more words.” This Macedonian cry stirred the hearts of the people.","The apparently fruitless search of the Nez Percé chiefs resulted in the first Protestant mission west of the Rocky Mountains, the Methodist Epicopal Church being the pioneer in this pathfinding expedition. It was in response to a stirring appeal by Dr. Wilbur Fisk in the Christian Advocate of New York that this far-distant field was entered. The words in which this statesman of the church wrote his message for the press is of interest today, as the prophecy of his far-seeing leadership is recalled. This was his summons and his challenge to faith: “Who will respond to the call from beyond the Rocky Mountains ? We are having a mission established at once."
