volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = no. separate out 'old settler',"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,before_sentence,after_sentence
uiug.30112076560074,"Journal of a tour in the ""Indian territory,"" : performed by order of the Domestic Committee of the Board of Missions of the Protestant Episcopal Church, in the spring of 1844, by their secretary and general agent.",1844,83,21,Settler,,,,"They were, however, steady and sincere in their friendship to the whites, and many is the honest old settler on the borders of their old dominion, who mentions with the warmest feelings the respectful treatment he has met with from them, while he cut the logs for his cabin and ploughed his “potato patch” on that lonely and unprotected frontier.","The Sacs and Iowas speak the same language, and are so perfectly consolidated by intermarriage and other ties of interest as to be in fact one nation. They formerly owned the north-western half of the State of Illinois, and a large part of the State of Missouri. No Indian tribe, except the Sioux, has shown such daring intrepidity, and such implacable hatred towards other tribes. Their enmity, once excited, was never known to be appeased till the arrow and tomahawk had forever prostrated their foes. For centuries the prairies of Illinois and Iowa were the theatre of their exterminating prowess; and to them is to be attributed the almost entire destruction of the Missouris, the Illinois, Cahokias, Kaskaskias, and Peorias.","They were, however, steady and sincere in their friendship to the whites, and many is the honest old settler on the borders of their old dominion, who mentions with the warmest feelings the respectful treatment he has met with from them, while he cut the logs for his cabin and ploughed his “potato patch” on that lonely and unprotected frontier. Like all other tribes, however, this also dwindles away at the approach of the whites. A saddening fact. The Indians' bones must enrich the soil before the plough of civilized man can enter it. In 1832 their friendly relations with their white neighbors were for the first time seriously interrupted."
uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,248,5,Settler,,,,"*The western proprietors then 3.4%; gave the settlers a free constitution, under the title of ºr... “Concessions,” similar to that given by Berkeley and *** Carteret, granting all the important privileges of civil and religious liberty.","ANALysis tablish a separate government in accordance with their pººl, peculiar religious principles. The division” was accom. ofºro plished without difficulty; Carteret receiving the eastern a jºy it. portion of the province, which was called EAST JERSEY ; and the assignees of Byllinge the western portion, which 1677. they named West JERsey.","*The western proprietors then 3.4%; gave the settlers a free constitution, under the title of ºr... “Concessions,” similar to that given by Berkeley and *** Carteret, granting all the important privileges of civil and religious liberty. a settler, in 9. ""The authors of the “Constitution” accompanied its .###, publication with a special recommendation of the province ** to the members of their own religious fraternity, and in 1677 upwards of four hundred Quakers came over and 4.sffect ºf settled in West New Jersey. “The settlers being unexºntº. pectedly called upon by Andros to acknowledge the sovereignty of the Duke of York, and submit to taxation, they remonstrated earnestly with the duke, and the question was finally referred to the eminent jurist, Sir William Jones, for his decision. 1680."
uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,248,6,Settler,,,,"a settler, in 9.","The division” was accom. ofºro plished without difficulty; Carteret receiving the eastern a jºy it. portion of the province, which was called EAST JERSEY ; and the assignees of Byllinge the western portion, which 1677. they named West JERsey. *The western proprietors then 3.4%; gave the settlers a free constitution, under the title of ºr... “Concessions,” similar to that given by Berkeley and *** Carteret, granting all the important privileges of civil and religious liberty.","a settler, in 9. ""The authors of the “Constitution” accompanied its .###, publication with a special recommendation of the province ** to the members of their own religious fraternity, and in 1677 upwards of four hundred Quakers came over and 4.sffect ºf settled in West New Jersey. “The settlers being unexºntº. pectedly called upon by Andros to acknowledge the sovereignty of the Duke of York, and submit to taxation, they remonstrated earnestly with the duke, and the question was finally referred to the eminent jurist, Sir William Jones, for his decision. 1680. 10."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,96,5,Settler,,,,"Now if the same rights which attach in common to the bona fide white settler occupying land prior to such grant to railroads were accorded to Indian occupants, it would be different; but, unfortunately for the Indian, he has not yet in fact come to be considered by the government as a man, although bearing the impress of a common Maker in all respects except as to the color of his skin.","forced to abandon their little reservations for the want of atfording them support, and who have found refuge and means of subsistence on neighboring unsurveyed land, to sever their tribal relations, would be useless. It would be to invite the scorn or the envy of their people, inasmuch as the influence of their headmen, and of the tribes as such, is exerted against such individual action on the part of any of their number, not to speak of the prejudice that prevails against the payment of the entry fees and commissions in such cases, which to the mind of the average Indian amounts to a purchase of the land. A further source of trouble in this connection is that growing out of the fact that even-numbered sections have been reserved for Indians within the limits of “railroad land grants."" In some instances their villages are found to be on railroad sections ; or, if they happen to be on reserved land, their little fields, cultivated all these years, are claimed as within the limits of the railroad grant, their improvements presenting such temptations as to overcome all considerations of sympathy and right. The lands are entered in the office of the railroad company, taken and occnpied, and the Indians turned out.","Now if the same rights which attach in common to the bona fide white settler occupying land prior to such grant to railroads were accorded to Indian occupants, it would be different; but, unfortunately for the Indian, he has not yet in fact come to be considered by the government as a man, although bearing the impress of a common Maker in all respects except as to the color of his skin. The situation, as far as it relates to the subject of lands, is anything but reassuring; and the correspondence with the department during the year, growing out of the anomalous situation of affairs at this agency, it is to be hoped, has developed the real needs of the Mission Indians in such a light as that the proper steps will soon be taken to provide them with suitable lands upon which they may gain a living. This is all that they ask of the government. Since my last report two schools have been established and conducted, for a period of nine months, with most gratifying results. Three more have been authorized, and by October 1 next will be in operation if the necessary preparations can be completed by that time."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,125,5,Settler,,,,The better class of settlers approve the regulation; those whom it was intended to hit do not approve.,"43 and the class that invariably flock to the extreme frontier, embracing many with little or no moral sense, is increasing. These men are far more difficult to control than the Indians. Bringing as they do few of the virtues and all of the vices of civilized life, their presence is in no way desirable, but quite the reverse. Orders have been issued and posted in prominent places upon the opposite shore, that all who land upon the agency must at once report at the office; those not reporting to be sent at once withont the limits of the reservation. This has had a wholesome effect, and the number straggling has been diminished.","The better class of settlers approve the regulation; those whom it was intended to hit do not approve. I am bappy to be able to state that the police force among the Indians themselves is growing in favor. They see that it is a protection to them, and they are desirous that the force be increased. Quite recently a request was made by the headmen and chiefs that the police force be increased to fifty. When it is borne in mind that not more than two years since they were wholly and totally opposed to any police force at all, and that it was with great difficulty any men could be enlisted, the change in opinion in this matter seems quite remarkable."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,125,23,Settler,,,,"Give them the same rights, and at once they are placed side by side with the white settler who seeks to make a home for himself and his posterity.","In the history of their race they see that step by step they have been driven back before the advancing host of the white man, and they naturally inquire “How long will it be before we too will be obliged to fall back ?"" And they naturally ask, “What profit will it be for us to build honses and plant fields if we too are to be compelled to fall back before the white stranger?” By giving them the land they now occupy, by extending over them the broad shield of the law, they are made legally equal with the whites. This done, they will enter upon such a career of improvement as this generation or any that have preceded it have never witnessed. As a measure of humanity and justice this great Nation cannot afford to refuse.","Give them the same rights, and at once they are placed side by side with the white settler who seeks to make a home for himself and his posterity. Refuse them, and you doom the Indian to uncertainty as to his position, and take from him the strongest inducements to education and labor, and the twin blessings, Religion and Civilization. EMPLOYÉS. This report would be incomplete without a grateful recognition on my part of the value of the assistance rendered by the employés at this agency. They are the “staff” without which the various duties could not be performed, and if any improvement."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,126,8,Settler,,,squatter,"Compelled to act at once, and often judge, court, and jury combined, deciding often against the white settler, squatter, or wood-chopper, they are censureil, in no small degree, because they thus decide.","Their patience, courage, honesty, goodnature, and ease with which they can be guided, commend them especially to the fostering care of the government; and as they can be fed, educated, and civilized cheaper than they can be exterminated, there are two powerful factors engaged in their improvement, viz, humanity and economy. Que further subject I would respectfully call.to the attention of the department, and close this long, and perhaps prolix, report. The duties, responsibilities, and cares of Indian agents are slightly understood outside of the circle in which they revolve. When it is borne in mind that they are isolated from home, and all its pleasures and comforts, from all they hold most dear; that they are charged frequently with the most delicate and onerons responsibilities; that upon their action peace or war may result, and that upon them, more than upon any other class, depends the success or failure of the question of the advancement of the Indian race, it would seem to be a measure of true economy that their services should meet with a corresponding reward. Like all men holding responsible positions, they are human; they may and will at times err, and the rules that in many cases would be applied to others will fail with them, and they cannot always perhaps be justly judged as other men may be.","Compelled to act at once, and often judge, court, and jury combined, deciding often against the white settler, squatter, or wood-chopper, they are censureil, in no small degree, because they thus decide. I think I may state without any contradiction, by any one qualified to judge, that an Indian agent who seeks to know and perform his duty will find but few waking hours when he will not be called upon to consider in what manner he can best perform the duties with which he is charged. His work is never done; be it midday or midnight, like the faithful soldier camped in the presence of the enemy, he must always be ready for action; ready to take advantage of any favorable movement; equally ready to repress any attempt at violence or insuborGination. Very respectfully, your obedient servant, W. H. PARKHURST, United States Indian Agent. The COMMISSIONER OF INDIAN AFFAIRS."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,127,13,Settler,,,,"No stockman or settler in the neighboring State of Nebraska or the Black Hills can claim to have lost a head of stock, but rather the contrary, for many stray animals belonging to the stockmen have been picked up on the Irdians' land and returned to the rightful owners by the Indian police and individual Indians.","They appear to realize that advance in civilization must be associated with a legal protection of life and property by individuals especially appointed for that purpose. The fact that the power to so protect them has been intrusted to members of their own tribe has had more to do with the peace and tranquillity of this agency for the past as well as the two preceding years than anything else. Admit that the Indian is brutal in many ways and low in the evolutionary scale as a human being, but he is endowed with reasoning powers, and a conscience to a certain degree, and it would be strange indeed if he did not appreciate the trust and confidence that has been placed in him here, in placing the controlling and restraining power in the hands of the Indian police as Indians, and the entire removal from the vicinity of the agency of the white man's soldiers, whose presence appears to be a constant reminder that the Great Father, and the agent who represents him, are atraid to trust him. The abandonment of Camp Sheridan, Nebraska, located pineteen miles from here, last spring, thus leaving us with no troops nearer than sixty-three miles away at Fort Robinson, has thus far resulted in no injury to the interests of the agency, or the neighboring country, rather to the surprise of the stockmen and others, who as usual prognosticated Indian raids, outbreaks, &c. For the past year, no crime has been committed on the reserve, or disturbance created.","No stockman or settler in the neighboring State of Nebraska or the Black Hills can claim to have lost a head of stock, but rather the contrary, for many stray animals belonging to the stockmen have been picked up on the Irdians' land and returned to the rightful owners by the Indian police and individual Indians. During the past winter, more or less trouble was created by the introduction of intoxicating liquor from the whisky ranches established just over the Nebraska line, two miles from the agency, but the temporary establishing of two sub-stations for the police on the line, and a regular patrol of the same, resulted in the locking up of the offenders in the agency guard-house for several days at a time; and a prompt removal from the reserve of all white men found frequenting these ranches, very soon put a stop to one of the principal curses arising from the association of the Indian with the unprincipled class of whites too frequently to be found in the vicinity of Indian reservations. To thoroughly prevent the introduction of liquor into the Sioux country is a difficult matter. It is true the severe laws enacted by the United States to prevent this traffic should apparently put a stop to it, but when we consider that the noble red men as a people evince a remarkably natural taste for the article, it is not to be wondered at that they should shield the person who may attempt to supply them. This taste and desire for liquor appears not alone among the common Indians; it is not unwelcome to even Red Cloud (whom an editor of one of the philanthropical journals East recently very gushingly termed “the grand old chieftain ""), for excessive use of the fluid which exhilarates and at the same time intoxicates has had much to do with eliminating what grandeur formerly existed in this Indian, and has resulted in his downfall among his people."
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,217,25,Settler,,,,"The lines of the reservation were extended so as to einbrace many settlements, and, as a matter of course, these prior righis of the settler could not be merged into an Indian title save by purchase, and this has lot been done, except in a few instances.","Fine grass lands, excellent water, forests of grand timber, small, fertile, well-watered valleys and lofty mountain peaks constitute the general physical features of the reservation, which is 30 miles east and west, and 36 miles north and south; the southern boundary line is the thirty-third parallel, and it lies between the twenty-eighth and twenty-ninth degrees of longitude west from Washington. The entire north half of the reservation, including Nogal and White Mountain Peaks, is alleged to be rich in gold and silver mines, while on the west line of the reservation, near the Mexican village of Tularosa, good copper mines are said to exist. All over this section described above, bear, elk, and deer abound. In considering these facts, together with the wellknown healthfulness of the country, is it to be wondered at that these Indians love the monntains aud are loth to surrender to the whites this their home? This reservation, however, presents the curious auomaly of farms and mill property lying within its limits, but not a part of it.","The lines of the reservation were extended so as to einbrace many settlements, and, as a matter of course, these prior righis of the settler could not be merged into an Indian title save by purchase, and this has lot been done, except in a few instances. This state of affairs works considerable inconvenience in the handling and management of the Indians. The agent can have no right to interfere with the question of who may be permitted to live on these arus; any person, no matter how objectionable he may be, can reside and do business within a short distance of the Indian camps, and the agent is powerless to interfere. The property of private citizens has to be crossed in order to reach the principal Indian farin. Stock is owned by both Indians and the settlers, and questions of dam:ge"
hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,217,29,Settler,,,,"Stock is owned by both Indians and the settlers, and questions of dam:ge","This reservation, however, presents the curious auomaly of farms and mill property lying within its limits, but not a part of it. The lines of the reservation were extended so as to einbrace many settlements, and, as a matter of course, these prior righis of the settler could not be merged into an Indian title save by purchase, and this has lot been done, except in a few instances. This state of affairs works considerable inconvenience in the handling and management of the Indians. The agent can have no right to interfere with the question of who may be permitted to live on these arus; any person, no matter how objectionable he may be, can reside and do business within a short distance of the Indian camps, and the agent is powerless to interfere. The property of private citizens has to be crossed in order to reach the principal Indian farin.","Stock is owned by both Indians and the settlers, and questions of dam:ge"
