,volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = yes,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,v_sent_score,tb_sent_score,ht_sent_score,v_sent,tb_sent,ht_sent
0,uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,632,3,Pioneer,,,,"“In the year 1684, La Salle, the pioneer in 1684, those western discoveries, sailedº from France with four º, vessels and two hundred and eighty persons, with the jº design of establishing a colony at the mouth of the Misºf sissippi.",0.0,0.0,0.7921637296676636,Neutral,Neutral,POSITIVE
1,hvd.32044010452878,The Southern workman.,1916,13,2,Pioneer,1,,,"Dr. Samuel Chiles Mitchell, president of Delaware College and an able pioneer in campaigning for better public schools throughout the South, said: “What war and politics failed to do constructively for the South, love, sympathy, coöperation, and business ability applied to economic and social problems helped wonderfully to accomplish.",0.8271,0.2791666666666667,0.9995967745780945,Positive,Neutral,POSITIVE
2,hvd.32044010452878,The Southern workman.,1916,44,22,Pioneer,1,,,"But Dr. Washington had to do pioneer work with it in the lower South, and finally he became its chief apostle to the nation.",-0.4215,0.0,0.8947856426239014,Negative,Neutral,POSITIVE
3,hvd.32044010452878,The Southern workman.,1916,80,9,Pioneer,?,,,"He soon came in touch with John B. Pierce, who was then a farm-demonstration agent-a veritable pioneer-a man who helped Robert Jones discover for himself hidden powers.",0.0,-0.16666666666666666,0.9980437755584717,Neutral,Neutral,POSITIVE
4,hvd.32044010452878,The Southern workman.,1916,97,2,Pioneer,?,,,"Further, they have pointed out to hundreds of students and social workers, not only the vast field of opportunity which the South offers for pioneer work, but also the working methods which have brought satisfactory results in social service.",0.631,0.027777777777777776,0.9994091987609863,Positive,Neutral,POSITIVE
5,uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,641,3,Pioneer,,,,"The leading pioneer in Texan colonization was }: Stephen F. Austin, whose father, Moses Austin, a native º: of Durham in Connecticut, visited Bexar as early as 1820, and early in the following year obtained from the govern1821.",-0.4767,0.06666666666666667,0.951483428478241,Negative,Neutral,POSITIVE
6,hvd.32044010452878,The Southern workman.,1916,184,5,Pioneer,1,,,"The white farmers were always too busy with their own work to assist him ; indeed, in some years  A PIONEER HOME",0.0,0.2333333333333333,0.9963208436965942,Neutral,Neutral,NEGATIVE
7,uc1.aa0011045630,"American history: comprising historical sketches of the Indian tribes; a description of American antiquities, with an inquiry into their origin and the origin of the Indian tribes; history of the United States, with appendices showing its connection with European history; history of the present British provinces; history of Mexico; and history of Texas, brought down to the time of its admission into the American union.",1851,115,1,Pioneer,,,,"In the foreground is a Buffalo, once anative animal of the State, apparently startled by the axe of the Woodman or Pioneer, who is seen on the left, felling the trees of the forest—denoting the advance of civilization westward.",-0.2732,0.025,0.9453704953193665,Neutral,Neutral,NEGATIVE
8,hvd.32044010452878,The Southern workman.,1916,234,12,Pioneer,1,,,"A pioneer in the adventure of brotherly love, he had invited us to be his companions in the further exploration of the possibilities of national sympathy.",0.872,0.25,0.9996429681777954,Positive,Neutral,POSITIVE
9,chi.088054025,"The war-path : a narrative of adventures in the wilderness: with minute details of the captivity of sundry persons; amusing and perilous incidents during their abode in the wild woods; fearful battles with the Indians; ceremony of adoption into an Indian family; encounters with wild beasts and rattlesnakes, &c. /",1856,256,13,Pioneer,,,,the pioneer exclaimed; “and if that gives out you must roll upon the fire and smother it with your hands.,-0.6369,0.0,0.5919355154037476,Negative,Neutral,NEGATIVE
10,hvd.32044081396079,"The American numismatical manual of the currency or money of the aborigines, and colonial, state, and United States coins. With historical and descriptive notices of each coin or series.",1859,93,24,Pioneer,,,,"These were the pioneer coins of the Massachusetts Mint, and, undoubtedly, of the American portion of the North American continent.",0.0,0.0,0.994067907333374,Neutral,Neutral,POSITIVE
11,hvd.32044081396079,"The American numismatical manual of the currency or money of the aborigines, and colonial, state, and United States coins. With historical and descriptive notices of each coin or series.",1859,225,20,Pioneer,,,,"We look upon it with somewhat of a feeling of reverence, it being the pioneer of that description of currency in our country, and characterized by an appearance that partakes much of the times when our forefathers had the same quaint resemblance, but not the less allied to those solid and substantial qualities so essential in laying the foundations of a government, which for enlightened and perfect workmanship, has ever since been the model and admiration of the thinking portion of the human family.",0.9602,0.14761904761904762,0.9996780157089233,Positive,Neutral,POSITIVE
12,hvd.32044010452878,The Southern workman.,1916,260,33,Pioneer,?,,,"With his nephew, also an ordained minister of the Methodist Episcopal Church, and a lay associate, he became the pioneer worker in the country west of the Rocky",0.0,0.0,0.9986912608146667,Neutral,Neutral,POSITIVE
13,hvd.tz1nwn,"Annual report of the Commissioner of Indian Affairs, for the year ...",1881,177,21,Pioneer,,,,"It is not the demands of an increasing population, nor the iron hand of the hardy pioneer of the West alone, that is calling on the Indians to give up a part of their fertile country, but it is the universal belief of their friends that the sooner they are surrounded by industry, and their large reservations reduced, just that much nearer will they be to civilization.",0.5699,0.13809523809523808,0.9858881831169128,Positive,Neutral,POSITIVE
